 schemaname |            relname             | reltuples 
------------+--------------------------------+-----------
 public     | announcementsdelivery          |     37494
 public     | resourcepermission             |     37361
 public     | layoutset                      |     25068
 public     | assetentry                     |     15673
 public     | users_roles                    |     12612
 public     | group_                         |     12534
 public     | user_                          |     12504
 public     | contact_                       |     12504
 public     | kaleolog                       |      9645
 public     | journalarticle                 |      4203
 public     | spatial_ref_sys                |      3749
 public     | portletpreferences             |      2254
 public     | kaleoinstancetoken             |      2085
 public     | dlfilerank                     |      1773
 public     | ace_aceitem                    |      1762
 public     | socialactivity                 |      1559
 public     | ratingsstats                   |      1519
 public     | mbmessage                      |      1501
 public     | mbthread                       |      1499
 public     | mbdiscussion                   |      1497
 public     | resourceaction                 |      1465
 public     | kaleotaskassignmentinstance    |      1266
 public     | kaleotaskinstancetoken         |      1258
 public     | kaleoinstance                  |      1184
 public     | workflowinstancelink           |      1184
 public     | journalarticleimage            |      1056
 public     | image                          |       899
 public     | journalarticleresource         |       669
 public     | expandovalue                   |       660
 public     | dlfileversion                  |       554
 public     | dlfileentry                    |       542
 public     | journalcontentsearch           |       509
 public     | ace_project                    |       418
 public     | portlet                        |       386
 public     | layoutfriendlyurl              |       361
 public     | layout                         |       361
 public     | syncdlobject                   |       331
 public     | kaleotimerinstancetoken        |       313
 public     | region                         |       270
 public     | country                        |       249
 public     | dlfolder                       |       233
 public     | classname_                     |       223
 public     | portalpreferences              |       204
 public     | kaleotransition                |       202
 public     | kaleonode                      |       202
 public     | kaleotaskassignment            |       198
 public     | ddmstructurelink               |       190
 public     | ddmcontent                     |       190
 public     | dlfileentrymetadata            |       190
 public     | ddmstoragelink                 |       190
 public     | browsertracker                 |       188
 public     | kaleonotification              |       184
 public     | chat_status                    |       170
 public     | expandorow                     |       165
 public     | systemevent                    |       159
 public     | assetentries_assettags         |       155
 public     | ace_measure                    |       150
 public     | kaleonotificationrecipient     |       145
 public     | kaleotimer                     |       121
 public     | climwat_exc                    |       115
 public     | kaleotask                      |       101
 public     | assettagstats                  |        86
 public     | assettag                       |        77
 public     | listtype                       |        63
 public     | users_groups                   |        45
 public     | ddmstructure                   |        45
 public     | kaleoaction                    |        42
 public     | counter                        |        41
 public     | chat_entry                     |        38
 public     | role_                          |        37
 public     | ddmtemplate                    |        36
 public     | kaleodefinition                |        35
 public     | trashversion                   |        24
 public     | servicecomponent               |        18
 public     | passwordpolicyrel              |        15
 public     | dlfileentrytypes_ddmstructures |        14
 public     | ace_wxsharvester               |        14
 public     | socialactivitycounter          |        13
 public     | trashentry                     |        13
 public     | users_usergroups               |        12
 public     | workflowdefinitionlink         |        11
 public     | expandotable                   |        10
 public     | layoutsetprototype             |        10
 public     | layoutprototype                |         9
 public     | dlfileentrytype                |         9
 public     | assetvocabulary                |         8
 public     | expandocolumn                  |         8
 public     | resourceblockpermission        |         7
 public     | assetcategory                  |         7
 public     | library_book                   |         6
 public     | usergrouprole                  |         5
 public     | release_                       |         4
 public     | geometry_columns               |         4
 public     | ticket                         |         3
 public     | backgroundtask                 |         3
 public     | wikipage                       |         3
 public     | repository                     |         3
 public     | usergroup                      |         3
 public     | library_publisher              |         2
 public     | resourceblock                  |         2
 public     | assetentries_assetcategories   |         2
 public     | wikinode                       |         2
 public     | wikipageresource               |         2
 public     | passwordpolicy                 |         2
 public     | account_                       |         2
 public     | virtualhost                    |         2
 public     | company                        |         2
 public     | subscription                   |         2
 public     | shard                          |         2
 public     | mbstatsuser                    |         1
 public     | team                           |         1
 public     | calendarresource               |         1
 public     | ace_cswharvester               |         1
 public     | mdrrulegroup                   |         1
 public     | journalfeed                    |         1
