,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,For which step of the AST can the funding be used?,,,,,,Who is eligible to receive funding?,,,,Which sectors can receive funding?,,,,,,,,,,,,,,Which type of funding is granted?,,,,,What is the expected budget range of proposals?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Worksheet,Link,Name of the funding programme,Provide a link to general information on the funding programme:,For which country is this funding opportunity offered?,…if multiple countries please specify:,For which regions is the funding opportunity offered?,…if for selected regions within the country/countries please specify:,AST 1: Preparing the ground for adaptation,AST 2: Assessing risks and vulnerability to climate change,AST 3: Identifying adaptation options,AST 4: Assessing adaptation options,AST 5: Implementation,AST 6: Monitoring & Evaluation (M&E),Local authorities and administrative bodies,"Social, cultural and educational institutions","Companies, SMEs and private associations",NGOs,Agriculture ,Buildings,Disaster Risk Reduction,Forestry,Health,Transport,Water management,Energy,Tourism,Biodiversity protection,Coastal Areas,Ecosystems restoration,Marine and Fisheries,Other,Grants,Subsidies (or Prices),"financial instruments & budgetary guarantees (e.g. loan, debt, guaranty and equity investment)",Other ,…if other please specify, < 50.000 €,50.000 - 100.000 €,100.001 € - 1M €,1M € - 10M €,> 10M €,How high is the funding rate? (percentage of covered costs),Are overhead costs covered?,"If yes, how? (e. g. flat-rate of 25% of actual costs, 50% of proven overhead costs, ...)",Can the received funding be combined with other funding sources (blended)?,Is a Consortium required to apply for the funding?,"if yes, please provide short info or link to conditions (e.g. 3 parties from different EU countries required; PA must be included in activities; …)","Estimate how much effort is needed to apply for the funding. (low, medium, high)",Should the application be submited in English or in national language?,,Summarise the objective of the programme (headline format max 300c including spaces),List programme priority areas,"
Which authority administers the funding programme?
",,In how many subprogrammes/topics is the funding opportunity clustered?,Title of each available sub-programme or cluster of calls,Short description of the aim of the sub-programme/cluster (max 200c),Link to the webpage of the specific sub-programme / cluster,Is the cluster / sub-programme further divided into smaller units?,Name of the most relevant sub-sub-programme / sub-cluster 1,Link to the most relevant sub-sub-programme / sub-cluster 1,Name of the most relevant sub-sub-programme / sub-cluster 2,Link to the most relevant sub-sub-programme / sub-cluster 2,Name of the most relevant sub-sub-programme / sub-cluster 3,Link to the most relevant sub-sub-programme / sub-cluster 3,Name of the most relevant sub-sub-programme / sub-cluster 4,Link to the most relevant sub-sub-programme / sub-cluster 4,Name of the most relevant sub-sub-programme / sub-cluster 5,Link to the most relevant sub-sub-programme / sub-cluster 5,,Please provide a link to the publication page of the individual calls. ,"Please provide contact information to reach the authority managing the funding opportunity. (e. g. mail, phone, link to contact page)","Please link online available training materials e.g. Webinars/Workshops on how to apply, description of calls",Please describe the linked materials (<100c),Please provide a link to additional useful information,Description of the content available under the link (<100c),Please provide a link to additional useful information,Description of the content available under the link (<100c)
EU Cohesion Fund,Go To EU Cohesion Fund,Cohesion Fund,Go To Cohesion Fund,"Bulgaria, Czechia, Estonia, Greece, Croatia, Cyprus, Latvia, Lithuania, Hungary, Malta, Poland, Portugal, Romania, Slovenia, Slovakia",0,All regions in those countries,0,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,YES,YES,YES,85% co-financing rate,YES,covered via flat rate,NOT SPECIFIED,NO,0,MEDIUM,English,,"The Fund aims to strenghten the economic, social and territorial cohesion of the EU memebr states and contribute to the investment in the field of environment and trans-European networks in the area of transport infrastructure.",0,European Commission administers the funding programme in shared responsibilities with national and regional managing authorities,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,https://ec.europa.eu/regional_policy/in-your-country/managing-authorities_en,regio-a2-communication@ec.europa.eu,0,0,https://ec.europa.eu/regional_policy/funding/cohesion-fund_en,detailed information on the fund,0,0
EU Connecting Europe Facility,Go To EU Connecting Europe Facility,Connecting Europe Facility,Go To Connecting Europe Facility,EU-27,0,All regions in EU-27,0,NO,NO,YES,YES,YES,NO,YES,NO,YES,YES,NO,YES,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,YES,YES,YES,30-50% co-financing rate.,NOT SPECIFIED,0,YES,NO,0,HIGH,English,,"The fund aims to support the development of high performing, sustainable and efficiently interconnected trans-European networks in the fields of transport, energy and digital services.","Development of strategies, assessments, plans, etc.; Support for investments in climate resilience measures",European Commission,,1,Energy,0,"https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-search;callCode=null;freeTextSearchKeyword=CEF-E;matchWholeText=true;typeCodes=1,0;statusCodes=31094501,31094502,31094503;programmePeriod=null;programCcm2Id=null;programDivisionCode=null;focusAreaCode=null;destination=null;mission=null;geographicalZonesCode=null;programmeDivisionProspect=null;startDateLte=null;startDateGte=null;crossCuttingPriorityCode=null;cpvCode=null;performanceOfDelivery=null;sortQuery=sortStatus;orderBy=asc;onlyTenders=false;topicListKey=topicSearchTablePageState",0,0,0,0,0,0,0,0,0,0,0,,"Energy: https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-search;callCode=null;freeTextSearchKeyword=CEF-E;matchWholeText=true;typeCodes=1,0;statusCodes=31094501,31094502,31094503;programmePeriod=null;programCcm2Id=null;programDivisionCode=null;focusAreaCode=null;destination=null;mission=null;geographicalZonesCode=null;programmeDivisionProspect=null;startDateLte=null;startDateGte=null;crossCuttingPriorityCode=null;cpvCode=null;performanceOfDelivery=null;sortQuery=sortStatus;orderBy=asc;onlyTenders=false;topicListKey=topicSearchTablePageState
Digital: https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-search;callCode=null;freeTextSearchKeyword=CEF-DIG;matchWholeText=true;typeCodes=1,0;statusCodes=31094501,31094503,31094502;programmePeriod=null;programCcm2Id=43251567;programDivisionCode=null;focusAreaCode=null;destination=null;mission=null;geographicalZonesCode=null;programmeDivisionProspect=null;startDateLte=null;startDateGte=null;crossCuttingPriorityCode=null;cpvCode=null;performanceOfDelivery=null;sortQuery=sortStatus;orderBy=asc;onlyTenders=false;topicListKey=topicSearchTablePageState
Transport: https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-search;callCode=null;freeTextSearchKeyword=CEF-T;matchWholeText=true;typeCodes=1,0;statusCodes=31094501,31094502,31094503;programmePeriod=null;programCcm2Id=43251567;programDivisionCode=null;focusAreaCode=null;destinationGroup=null;missionGroup=null;geographicalZonesCode=null;programmeDivisionProspect=null;startDateLte=null;startDateGte=null;crossCuttingPriorityCode=null;cpvCode=null;performanceOfDelivery=null;sortQuery=sortStatus;orderBy=asc;onlyTenders=false;topicListKey=topicSearchTablePageState","https://hadea.ec.europa.eu/programmes/connecting-europe-facility/national-contact-points_en
https://cinea.ec.europa.eu/programmes/life/history-life/life-contacts/ncps-national-contact-points-clean-energy-transition_en",0,0,https://cinea.ec.europa.eu/programmes/connecting-europe-facility_en,general information on the program,0,0
EU Digital Europe Program,Go To EU Digital Europe Program,Dgital Europe Programme,Go To Dgital Europe Programme,EU-27,0,All regions in EU-27,0,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,YES,YES,NO,YES,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,YES,YES,YES,"50-100% co-financing rate, varies on the type of action per call",YES,7% covered as flat rate,NOT SPECIFIED,YES,"international consortia required. Depending on the call, a consortium of at least 2 or 3 applicants and from different eligible countries can be required",HIGH,English,,"The Programme aims to reinforce the EU critical digital capacities by focusing on the key areas of artificial intelligence, cybersecurity, advanced computing, data infrastructure, governance and processing, the development of these technologies and their best use for cirtical sectors like energy, climate change and environment, manufacturing, agriculture and health. ",training and knowledge sharing; support for investments in climate resilience measures,European Commission,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/programmes/digital,CNECT-H3@ec.europa.eu,https://digital-strategy.ec.europa.eu/en/faqs/questions-and-answers-digital-europe-programme,FAQs,https://digital-strategy.ec.europa.eu/en/activities/work-programmes-digital,work programme,"https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-search;callCode=null;freeTextSearchKeyword=;matchWholeText=true;typeCodes=1,0;statusCodes=31094501,31094502,31094503;programmePeriod=2021%20-%202027;programCcm2Id=43152860;programDivisionCode=null;focusAreaCode=null;destination=null;mission=null;geographicalZonesCode=null;programmeDivisionProspect=null;startDateLte=null;startDateGte=null;crossCuttingPriorityCode=null;cpvCode=null;performanceOfDelivery=null;sortQuery=sortStatus;orderBy=asc;onlyTenders=false;topicListKey=topicSearchTablePageState?programmePeriod=2021%20-%202027&frameworkProgramme=43152860",The currently available funding
EU Erasmus +,Go To EU Erasmus +,Erasmus +,Go To Erasmus +,EU-27,0,All regions in EU-27,0,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,NO,YES,YES,YES,YES,80-100% co-financing rate,YES,7% on direct costs,NOT SPECIFIED,YES,"international consortium required. However, depending on the call sole applicants or consortia are eligible",HIGH,English,,Erasmus+ aims to spread the understanding of climate change and learn about collectiv responsibility towards environmental protection and prevention of futher damaging situations.,"inclusion & diversity: reaching people with fewer opportunities
Digital: increased access to digital learning, development of digital skills and hybrid programmes
Green: cross-cutting topic towards the cological transition, building and understanding and competencies related to sustainability","European Commission and is implemented by EACEA together with national agencies in programme countries, and with national offices in partner countries",,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-search;callCode=null;freeTextSearchKeyword=;matchWholeText=true;typeCodes=1,0;statusCodes=31094501,31094502,31094503;programmePeriod=null;programCcm2Id=43353764;programDivisionCode=null;focusAreaCode=null;destination=null;mission=null;geographicalZonesCode=null","https://www.eacea.ec.europa.eu/contacts/general-questions_en
https://erasmus-plus.ec.europa.eu/contacts/national-agencies",https://webcast.ec.europa.eu/erasmus-virtual-exchanges-infoday-on-2022-call-for-proposals-2022-06-15,Erasmus+ virtual exchange: infoday on 2022 call for proposals,https://erasmus-plus.ec.europa.eu/contacts/your-questions-answered,FAQs,0,0
EU Agricultural fund for rural ,Go To EU Agricultural fund for rural ,European Agricultural Fund for Rural Development,Go To European Agricultural Fund for Rural Development,EU-27,0,All regions in EU-27,0,NO,NO,NO,NO,YES,NO,YES,YES,YES,YES,YES,NO,NO,YES,NO,NO,YES,YES,NO,YES,NO,YES,NO,NO,YES,YES,YES,NO,NO,YES,YES,YES,YES,YES,the co-financing rate differs between cuntries,NOT SPECIFIED,0,NOT SPECIFIED,YES,it depends on the specific call for tenders from the EU Member states,MEDIUM,English,,"The fund aims at promoting resource efficiency and supporting the shift toward a low-carbon and climate - resilient economy in the agriculture, food and forestry sectors.",0,European Commission ,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,https://www.fi-compass.eu/fisiyc,0,0,0,https://www.fi-compass.eu/funds/eafrd,general information on the fund,https://eur-lex.europa.eu/legal-content/en/ALL/?uri=CELEX%3A32013R1305,EU Regulation
EU Bank for Reconstruction and ,Go To EU Bank for Reconstruction and ,European Bank for Reconstruction and Development ,Go To European Bank for Reconstruction and Development ,"Bulgaria, Croatia, Czechia, Estonia, Greece, Hungary, Latvia, Lithuania, Poland, Romania, Slovakia, Slovenia",0,All regions in those countries,0,YES,NO,YES,YES,NO,NO,YES,NO,YES,NO,YES,YES,NO,YES,YES,YES,NO,YES,YES,YES,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,YES,YES,0.35,NOT SPECIFIED,0,NOT SPECIFIED,NOT SPECIFIED,0,HIGH,English,,The fund aims to lead to the development of adaptation strategies to increase resilience through improved practices and investments in measures and technologies to better cope with a changing and more variable climate and reduce long-term risks.,0,European Bank for Reconstruction and Development,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,https://www.ebrd.com/apply,https://www.ebrd.com/contacts.html,https://www.ebrd.com/news/video/how-ebrd-projects-work.html,video on EBRD projects,https://www.ebrd.com/where-we-are.html,EBRD overview of countries of operation,https://www.ebrd.com/project-finder,past projects
European Investment Bank,Go To European Investment Bank,European Investment Bank,Go To European Investment Bank,EU-27,0,All regions in EU-27,0,NO,NO,NO,NO,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,innovative financing products,NO,NO,NO,NO,YES,up tp 75%,YES,flat rate,YES,NOT SPECIFIED,0,HIGH,"English, French",,The Bank aims to support projects that anticipate the adverse effects of climate change and take appropriate action to prevent or minimise the resulting damages.,0,European Investment Bank,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,https://www.eib.org/en/products/index.htm,https://www.eib.org/en/infocentre/contact/index.htm,https://www.eib.org/en/infocentre/faq/index.htm,FAQs,https://www.eib.org/en/products/mandates-partnerships/donor-partnerships/trust-funds/index.htm?q=&sortColumn=titles&sortDir=asc&pageNumber=0&itemPerPage=10&pageable=true&language=EN&defaultLanguage=EN&orSectors=true&orCountries.region=true,information on the trust fund,https://greenchecker.eib.org/,Green Eligibility Checker
EU Maritime Fisheries and aquac,Go To EU Maritime Fisheries and aquac,"European Maritime, Fisheries and Aquaculture Fund","Go To European Maritime, Fisheries and Aquaculture Fund",EU-27,0,All regions in EU-27,0,NO,NO,NO,NO,YES,NO,YES,YES,YES,YES,YES,NO,YES,NO,NO,YES,YES,NO,YES,YES,YES,YES,YES,NO,YES,NO,NO,NO,NO,NO,YES,YES,YES,NO,"70% co-financing rate, up to 100% under specific conditions",NOT SPECIFIED,0,NOT SPECIFIED,YES,a minimum of 3 partners from different EU countries is required. Differt rules apply for nationally managed fundings.,MEDIUM,English + national language for nationally managed fundings,,The Fund aims at the development of innovative projects ensuring that aquatic and maritime resources are used sustainably. ,0,The EMFAF budget is mainly allocated to the member states (€5.3 billion) based on the size of their fishery industry and managed autonomously by national authorities after approval of the operational programme by the European Commission. The remaining budget (€0.8 billion) is directly managed by the European Commission (DG REGIO & DG MARE) or on their behalf by CINEA.,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-search;callCode=null;freeTextSearchKeyword=;matchWholeText=true;typeCodes=1,0;statusCodes=31094501,31094502,31094503;programmePeriod=2021%20-%202027;programCcm2Id=43392145;programDivisionCode=null;focusAreaCode=null;destination=null;mission=null;geographicalZonesCode=null;programmeDivisionProspect=null;startDateLte=null;startDateGte=null;crossCuttingPriorityCode=null;cpvCode=null;performanceOfDelivery=null;sortQuery=sortStatus;orderBy=asc;onlyTenders=false;topicListKey=topicSearchTablePageState",https://oceans-and-fisheries.ec.europa.eu/system/files/2022-08/national_authorities_0.pdf,https://oceans-and-fisheries.ec.europa.eu/system/files/2021-07/emfaf-faq_en.pdf,FAQs,https://oceans-and-fisheries.ec.europa.eu/funding/emfaf-programmes-2021-2027_en,list of national programmes,https://emff.easme-web.eu/,past projects
ERDF,Go To ERDF,European Regional Development Fund (ERDF),Go To European Regional Development Fund (ERDF),EU-27,0,All regions in EU-27,0,YES,NO,NO,NO,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,YES,YES,"40-85% co-financing rate, adapted to the development level of the region",NOT SPECIFIED,0,NOT SPECIFIED,YES,"Depending on the operational programme. Under the Interreg Programmes, a transnational or cross border consortium can be required",MEDIUM,English + national language,,"The ERDF has 2 main goals:
- investment for growth and jobs: to strenghten the labour market  and regional economies
- European Territorial Cooperation: to strenghten cross-border, transnational and interregional cooperation withing the EU.","Support for innovation, the digital economy and SMEs delivered through a smart speciliasation strategy, greener, low-carbon and circular economy","The ERDF finances programmes in shared responsibility between the European Commission and national and
regional authorities in Member States. The Member States' administrations choose which projects to finance and take
responsibility for day-to-day management.",,1,Interreg A. Cross-border,It aims to enhance cross- border coopeation betwenn NUTS III regions from at least 2 different member states lying drectly on the borders or adjiacent to them.,https://interreg.eu/strand-of-cooperation/interreg-a-cross-border-cooperation/,0,0,0,0,0,0,0,0,0,0,0,,https://commission.europa.eu/funding-tenders/find-funding/funding-management-mode/national-single-portals_en,https://ec.europa.eu/regional_policy/in-your-country/managing-authorities_en,"https://ec.europa.eu/regional_policy/videos/policy/cooperation/european-territorial/interreg22/LR_I209944EN1W.mp4
https://ec.europa.eu/regional_policy/videos/policy/cooperation/european-territorial/interreg22/LR_I209943EN1W.mp4",presentations video,https://ec.europa.eu/regional_policy/in-your-country/programmes_en,Operational Programme,https://keep.eu/projects/,"aggregated data on programmes, projects and partners of Interreg"
