Id,Signatory,Language,Order,Action_Id,Climate_Hazard
54419,City and Metropolitan Municipality of Strasbourg,en,4,4,Urban flooding
54419,City and Metropolitan Municipality of Strasbourg,en,5,5,Urban flooding
54419,City and Metropolitan Municipality of Strasbourg,en,5,5,Extreme heat
54419,City and Metropolitan Municipality of Strasbourg,en,6,6,Urban flooding
36469,City of L'Aquila,en,5,5,River flooding
36469,City of L'Aquila,en,5,5,Heavy precipitation
54419,City and Metropolitan Municipality of Strasbourg,en,7,7,Urban flooding
54419,City and Metropolitan Municipality of Strasbourg,en,7,7,Extreme heat
36247,City of Arezzo,en,1,1,Action does not address hazard
36247,City of Arezzo,en,3,3,Heavy precipitation
36469,City of L'Aquila,en,3,3,Fire weather (risk of wildfires)
36469,City of L'Aquila,en,4,4,Heavy precipitation
36247,City of Arezzo,en,4,4,Extreme cold
36247,City of Arezzo,en,4,4,Heat stress
36247,City of Arezzo,en,4,4,"Other, please specify"
36247,City of Arezzo,en,4,4,Snow and ice
36247,City of Arezzo,en,4,4,Extreme heat
834069,City of Graz,en,2,2,Extreme heat
73193,State of Styria,en,1,1,Biodiversity loss
73193,State of Styria,en,1,1,Fire weather (risk of wildfires)
73193,State of Styria,en,1,1,Mass movement
73193,State of Styria,en,1,1,Heat stress
73193,State of Styria,en,1,1,Drought
834069,City of Graz,en,3,3,Heat stress
834069,City of Graz,en,3,3,Extreme heat
834069,City of Graz,en,4,4,Heat stress
834069,City of Graz,en,4,4,Extreme heat
36469,City of L'Aquila,en,2,2,Snow and ice
36159,City of Lisbon,en,1,1,Heat stress
36159,City of Lisbon,en,1,1,Extreme heat
36159,City of Lisbon,en,2,2,Biodiversity loss
36159,City of Lisbon,en,2,2,Urban flooding
36159,City of Lisbon,en,2,2,"Other, please specify"
36159,City of Lisbon,en,2,2,Extreme heat
36159,City of Lisbon,en,3,3,Extreme heat
36159,City of Lisbon,en,4,4,Action does not address hazard
36159,City of Lisbon,en,5,5,Extreme heat
36159,City of Lisbon,en,6,6,Soil degradation/erosion
36159,City of Lisbon,en,6,6,Biodiversity loss
36159,City of Lisbon,en,6,6,Loss of green space/green cover
36159,City of Lisbon,en,6,6,Drought
36159,City of Lisbon,en,7,7,Biodiversity loss
36159,City of Lisbon,en,7,7,Urban flooding
36159,City of Lisbon,en,7,7,Drought
36159,City of Lisbon,en,8,8,Urban flooding
36159,City of Lisbon,en,9,9,Extreme heat
73193,State of Styria,en,6,6,Water stress
73193,State of Styria,en,6,6,Drought
73193,State of Styria,en,7,7,Extreme cold
73193,State of Styria,en,7,7,Extreme heat
36159,City of Lisbon,en,10,10,Urban flooding
36159,City of Lisbon,en,10,10,"Other, please specify"
36159,City of Lisbon,en,10,10,Heavy precipitation
36159,City of Lisbon,en,10,10,Extreme wind
36159,City of Lisbon,en,10,10,Extreme heat
36159,City of Lisbon,en,11,11,Extreme heat
36159,City of Lisbon,en,12,12,Drought
36159,City of Lisbon,en,13,13,Extreme heat
36159,City of Lisbon,en,14,14,River flooding
36159,City of Lisbon,en,14,14,Drought
36159,City of Lisbon,en,15,15,Heavy precipitation
36159,City of Lisbon,en,15,15,Extreme wind
36159,City of Lisbon,en,15,15,Extreme heat
43940,City of Malmö,en,1,1,Loss of green space/green cover
43940,City of Malmö,en,1,1,Extreme heat
43940,City of Malmö,en,1,1,Drought
43940,City of Malmö,en,3,3,Storm
43940,City of Malmö,en,3,3,Urban flooding
43940,City of Malmö,en,3,3,Heavy precipitation
43940,City of Malmö,en,4,4,Extreme heat
43940,City of Malmö,en,4,4,Drought
43940,City of Malmö,en,5,5,Loss of green space/green cover
43940,City of Malmö,en,5,5,Extreme heat
43940,City of Malmö,en,5,5,Drought
43940,City of Malmö,en,6,6,Extreme heat
43940,City of Malmö,en,7,7,Storm
43940,City of Malmö,en,7,7,Coastal flooding (incl. sea level rise)
43940,City of Malmö,en,9,9,Storm
43940,City of Malmö,en,9,9,Urban flooding
43940,City of Malmö,en,9,9,Heavy precipitation
43940,City of Malmö,en,10,10,Storm
43940,City of Malmö,en,10,10,Urban flooding
43940,City of Malmö,en,10,10,Coastal flooding (incl. sea level rise)
43940,City of Malmö,en,10,10,Heavy precipitation
43940,City of Malmö,en,11,11,Extreme heat
31175,City of Paris,en,1,1,Infectious disease
31175,City of Paris,en,1,1,Extreme heat
31175,City of Paris,en,3,3,Biodiversity loss
31175,City of Paris,en,3,3,Extreme heat
31175,City of Paris,en,3,3,Drought
31175,City of Paris,en,4,4,Heavy precipitation
31175,City of Paris,en,4,4,Extreme wind
31175,City of Paris,en,4,4,Extreme heat
73193,State of Styria,en,2,2,Biodiversity loss
31175,City of Paris,en,5,5,Water stress
