Id,Signatory,Language,Order,Action_Id,Co_Benefit
36247,City of Arezzo,en,1,1,Reduced costs
36247,City of Arezzo,en,1,1,Improved waste management
36247,City of Arezzo,en,1,1,Reduced GHG emissions
36247,City of Arezzo,en,3,3,"Reduced disruption of energy, transport, water or communications networks"
36247,City of Arezzo,en,3,3,Reduced natural resource depletion
36247,City of Arezzo,en,3,3,Reduced costs
36247,City of Arezzo,en,3,3,Reduced disaster/disease/contamination-related health impacts
36247,City of Arezzo,en,3,3,Fewer or no households and businesses forced from homes/places of work
36247,City of Arezzo,en,3,3,Improved road safety
36247,City of Arezzo,en,4,4,Increased security/protection for poor/vulnerable populations
36247,City of Arezzo,en,4,4,Improved education and public awareness on climate issues
36247,City of Arezzo,en,4,4,Business/technological innovation
36247,City of Arezzo,en,4,4,Increased transparency and accountability
36247,City of Arezzo,en,4,4,Reduced disaster/disease/contamination-related health impacts
36247,City of Arezzo,en,4,4,Improved air quality
36247,City of Arezzo,en,4,4,Reduced health impacts from extreme heat or cold weather
36159,City of Lisbon,en,1,1,Reduced health impacts from extreme heat or cold weather
36159,City of Lisbon,en,1,1,Improved education and public awareness on climate issues
36159,City of Lisbon,en,1,1,"Increased social inclusion, equality and justice"
36159,City of Lisbon,en,1,1,Improved water/soil quality
36159,City of Lisbon,en,1,1,Improved physical health
36159,City of Lisbon,en,1,1,Improved mental wellbeing/quality of life
36159,City of Lisbon,en,1,1,Improved air quality
36159,City of Lisbon,en,1,1,Protected/improved biodiversity and ecosystem services
36159,City of Lisbon,en,2,2,Reduced natural resource depletion
36159,City of Lisbon,en,2,2,Increased/improved green space
36159,City of Lisbon,en,2,2,Reduced GHG emissions
36159,City of Lisbon,en,2,2,Protected/improved biodiversity and ecosystem services
36159,City of Lisbon,en,3,3,Improved physical health
36159,City of Lisbon,en,3,3,Reduced health impacts from extreme heat or cold weather
36159,City of Lisbon,en,4,4,Reduced natural resource depletion
36159,City of Lisbon,en,4,4,Increased water security
36159,City of Lisbon,en,5,5,Reduced health costs
36159,City of Lisbon,en,5,5,Reduced health impacts from extreme heat or cold weather
36159,City of Lisbon,en,6,6,Improved water/soil quality
36159,City of Lisbon,en,6,6,Increased/improved green space
36159,City of Lisbon,en,6,6,Reduced natural resource depletion
36159,City of Lisbon,en,6,6,Reduced costs
36159,City of Lisbon,en,6,6,Protected/improved biodiversity and ecosystem services
36159,City of Lisbon,en,7,7,Reduced natural resource depletion
36159,City of Lisbon,en,7,7,Reduced costs
36159,City of Lisbon,en,7,7,Protected/improved biodiversity and ecosystem services
36159,City of Lisbon,en,8,8,"Other impacts from climate actions, please specify"
36159,City of Lisbon,en,8,8,Reduced natural resource depletion
36159,City of Lisbon,en,8,8,Increased/improved green space
36159,City of Lisbon,en,8,8,Protected/improved biodiversity and ecosystem services
36159,City of Lisbon,en,9,9,Reduced health impacts from extreme heat or cold weather
36159,City of Lisbon,en,9,9,Reduced fuel/energy poverty
36159,City of Lisbon,en,9,9,Improved education and public awareness on climate issues
36159,City of Lisbon,en,9,9,Improved physical health
36159,City of Lisbon,en,9,9,Reduced natural resource depletion
36159,City of Lisbon,en,9,9,Improved mental wellbeing/quality of life
36159,City of Lisbon,en,9,9,Protected/improved biodiversity and ecosystem services
36159,City of Lisbon,en,10,10,"Reduced disruption of energy, transport, water or communications networks"
36159,City of Lisbon,en,10,10,Improved education and public awareness on climate issues
36159,City of Lisbon,en,10,10,Business/technological innovation
36159,City of Lisbon,en,10,10,Reduced natural resource depletion
36159,City of Lisbon,en,10,10,Reduced congestion
36159,City of Lisbon,en,11,11,Increased/improved green space
36159,City of Lisbon,en,11,11,Increased food security
36159,City of Lisbon,en,11,11,Improved mental wellbeing/quality of life
36159,City of Lisbon,en,11,11,Improved waste management
36159,City of Lisbon,en,11,11,Revenue generation
36159,City of Lisbon,en,11,11,Protected/improved biodiversity and ecosystem services
36159,City of Lisbon,en,11,11,Reduced health impacts from extreme heat or cold weather
36159,City of Lisbon,en,11,11,Reduced noise/light pollution
36159,City of Lisbon,en,11,11,Increased economic production
36159,City of Lisbon,en,11,11,Improved water/soil quality
36159,City of Lisbon,en,11,11,Improved physical health
36159,City of Lisbon,en,11,11,Improved mobility and access
36159,City of Lisbon,en,11,11,Reduced natural resource depletion
36159,City of Lisbon,en,11,11,Reduced costs
36159,City of Lisbon,en,11,11,Improved air quality
43940,City of Malmö,en,1,1,Reduced health impacts from extreme heat or cold weather
43940,City of Malmö,en,1,1,Protected/improved biodiversity and ecosystem services
43940,City of Malmö,en,1,1,Reduced health costs
43940,City of Malmö,en,1,1,"Increased social inclusion, equality and justice"
43940,City of Malmö,en,1,1,Improved physical health
43940,City of Malmö,en,1,1,Increased/improved green space
43940,City of Malmö,en,1,1,Improved mental wellbeing/quality of life
43940,City of Malmö,en,1,1,Improved air quality
43940,City of Malmö,en,1,1,Reduced GHG emissions
43940,City of Malmö,en,1,1,Reduced premature deaths
43940,City of Malmö,en,1,1,Reduced noise/light pollution
43940,City of Malmö,en,3,3,"Reduced disruption of energy, transport, water or communications networks"
43940,City of Malmö,en,3,3,Improved education and public awareness on climate issues
43940,City of Malmö,en,3,3,Improved mobility and access
43940,City of Malmö,en,3,3,Reduced costs
43940,City of Malmö,en,3,3,Improved preparedness for health service delivery
43940,City of Malmö,en,3,3,Increased transparency and accountability
43940,City of Malmö,en,3,3,Reduced disaster/disease/contamination-related health impacts
43940,City of Malmö,en,3,3,Job creation
43940,City of Malmö,en,3,3,Fewer or no households and businesses forced from homes/places of work
43940,City of Malmö,en,3,3,Improved road safety
43940,City of Malmö,en,4,4,Reduced health costs
43940,City of Malmö,en,4,4,Increased security/protection for poor/vulnerable populations
43940,City of Malmö,en,4,4,Improved physical health
43940,City of Malmö,en,4,4,Improved mental wellbeing/quality of life
43940,City of Malmö,en,4,4,Reduced disaster/disease/contamination-related health impacts
43940,City of Malmö,en,4,4,Reduced premature deaths
43940,City of Malmö,en,4,4,Reduced health impacts from extreme heat or cold weather
43940,City of Malmö,en,5,5,Reduced health costs
43940,City of Malmö,en,5,5,Increased security/protection for poor/vulnerable populations
43940,City of Malmö,en,5,5,"Increased social inclusion, equality and justice"
43940,City of Malmö,en,5,5,Improved education and public awareness on climate issues
43940,City of Malmö,en,5,5,Increased/improved green space
43940,City of Malmö,en,5,5,Improved mental wellbeing/quality of life
43940,City of Malmö,en,5,5,Reduced GHG emissions
43940,City of Malmö,en,5,5,Reduced premature deaths
43940,City of Malmö,en,5,5,Reduced noise/light pollution
43940,City of Malmö,en,5,5,Reduced health impacts from extreme heat or cold weather
43940,City of Malmö,en,5,5,Protected/improved biodiversity and ecosystem services
43940,City of Malmö,en,5,5,Improved physical health
43940,City of Malmö,en,5,5,Reduced natural resource depletion
43940,City of Malmö,en,5,5,Reduced disaster/disease/contamination-related health impacts
43940,City of Malmö,en,5,5,Improved air quality
43940,City of Malmö,en,6,6,Reduced health costs
43940,City of Malmö,en,6,6,Increased security/protection for poor/vulnerable populations
43940,City of Malmö,en,6,6,Improved physical health
43940,City of Malmö,en,6,6,Improved mental wellbeing/quality of life
43940,City of Malmö,en,6,6,Improved preparedness for health service delivery
43940,City of Malmö,en,6,6,Reduced disaster/disease/contamination-related health impacts
43940,City of Malmö,en,6,6,Improved labor conditions
43940,City of Malmö,en,6,6,Reduced premature deaths
43940,City of Malmö,en,6,6,Reduced health impacts from extreme heat or cold weather
43940,City of Malmö,en,7,7,"Reduced disruption of energy, transport, water or communications networks"
43940,City of Malmö,en,7,7,Improved mobility and access
43940,City of Malmö,en,7,7,Reduced costs
43940,City of Malmö,en,7,7,Improved preparedness for health service delivery
43940,City of Malmö,en,7,7,Increased transparency and accountability
43940,City of Malmö,en,7,7,Increased energy security
43940,City of Malmö,en,7,7,Fewer or no households and businesses forced from homes/places of work
43940,City of Malmö,en,7,7,Revenue generation
43940,City of Malmö,en,7,7,Improved road safety
43940,City of Malmö,en,9,9,"Reduced disruption of energy, transport, water or communications networks"
43940,City of Malmö,en,9,9,Improved education and public awareness on climate issues
43940,City of Malmö,en,9,9,Reduced costs
43940,City of Malmö,en,9,9,Revenue generation
43940,City of Malmö,en,10,10,"Reduced disruption of energy, transport, water or communications networks"
43940,City of Malmö,en,10,10,Improved education and public awareness on climate issues
43940,City of Malmö,en,10,10,Improved mobility and access
43940,City of Malmö,en,10,10,Reduced costs
43940,City of Malmö,en,10,10,Increased transparency and accountability
43940,City of Malmö,en,10,10,Improved preparedness for health service delivery
43940,City of Malmö,en,10,10,Fewer or no households and businesses forced from homes/places of work
43940,City of Malmö,en,10,10,Improved road safety
43940,City of Malmö,en,11,11,Increased labor productivity
43940,City of Malmö,en,11,11,Reduced health costs
43940,City of Malmö,en,11,11,Increased security/protection for poor/vulnerable populations
43940,City of Malmö,en,11,11,Improved physical health
43940,City of Malmö,en,11,11,Improved preparedness for health service delivery
43940,City of Malmö,en,11,11,Reduced disaster/disease/contamination-related health impacts
43940,City of Malmö,en,11,11,Improved labor conditions
43940,City of Malmö,en,11,11,Reduced premature deaths
43940,City of Malmö,en,11,11,Reduced health impacts from extreme heat or cold weather
31175,City of Paris,en,1,1,Increased security/protection for poor/vulnerable populations
31175,City of Paris,en,1,1,Increased transparency and accountability
31175,City of Paris,en,1,1,Reduced disaster/disease/contamination-related health impacts
31175,City of Paris,en,3,3,Increased security/protection for poor/vulnerable populations
31175,City of Paris,en,3,3,Reduced health impacts from extreme heat or cold weather
31175,City of Paris,en,4,4,Increased security/protection for poor/vulnerable populations
31175,City of Paris,en,4,4,"Increased social inclusion, equality and justice"
31175,City of Paris,en,4,4,Reduced premature deaths
31175,City of Paris,en,5,5,Reduced natural resource depletion
31175,City of Paris,en,5,5,Reduced costs
31175,City of Paris,en,5,5,Increased water security
31175,City of Paris,en,9,9,Reduced health impacts from extreme heat or cold weather
31175,City of Paris,en,9,9,Increased/improved green space
31175,City of Paris,en,9,9,Improved mental wellbeing/quality of life
31175,City of Paris,en,9,9,Protected/improved biodiversity and ecosystem services
31175,City of Paris,en,6,6,Reduced health impacts from extreme heat or cold weather
31175,City of Paris,en,7,7,Improved preparedness for health service delivery
31175,City of Paris,en,7,7,Reduced premature deaths
31175,City of Paris,en,7,7,Reduced health impacts from extreme heat or cold weather
31175,City of Paris,en,8,8,Reduced health impacts from extreme heat or cold weather
31175,City of Paris,en,10,10,Improved water/soil quality
31175,City of Paris,en,11,11,"Reduced disruption of energy, transport, water or communications networks"
31175,City of Paris,en,11,11,Increased water security
31175,City of Paris,en,12,12,Reduced health impacts from extreme heat or cold weather
31175,City of Paris,en,13,13,Reduced health impacts from extreme heat or cold weather
31175,City of Paris,en,14,14,"Reduced disruption of energy, transport, water or communications networks"
31175,City of Paris,en,14,14,Improved education and public awareness on climate issues
31175,City of Paris,en,14,14,Improved water/soil quality
31175,City of Paris,en,14,14,Increased/improved green space
31175,City of Paris,en,14,14,Reduced disaster/disease/contamination-related health impacts
54408,Aarhus Municipality,en,1,1,Reduced costs
72923,Autonomous Community of Andalusia,en,1,1,Increased food security
72923,Autonomous Community of Andalusia,en,2,2,Business/technological innovation
72923,Autonomous Community of Andalusia,en,2,2,Increased energy security
72923,Autonomous Community of Andalusia,en,2,2,Reduced GHG emissions
72923,Autonomous Community of Andalusia,en,3,3,"Reduced disruption of energy, transport, water or communications networks"
72923,Autonomous Community of Andalusia,en,3,3,Increased security/protection for poor/vulnerable populations
72923,Autonomous Community of Andalusia,en,3,3,Reduced disaster/disease/contamination-related health impacts
72923,Autonomous Community of Andalusia,en,3,3,Increased water security
72923,Autonomous Community of Andalusia,en,3,3,Fewer or no households and businesses forced from homes/places of work
72923,Autonomous Community of Andalusia,en,3,3,Protected/improved biodiversity and ecosystem services
72923,Autonomous Community of Andalusia,en,5,5,Reduced health costs
72923,Autonomous Community of Andalusia,en,5,5,Improved water/soil quality
72923,Autonomous Community of Andalusia,en,5,5,Improved mobility and access
72923,Autonomous Community of Andalusia,en,5,5,Improved physical health
72923,Autonomous Community of Andalusia,en,5,5,Reduced natural resource depletion
72923,Autonomous Community of Andalusia,en,5,5,Improved mental wellbeing/quality of life
72923,Autonomous Community of Andalusia,en,5,5,Increased/improved green space
72923,Autonomous Community of Andalusia,en,5,5,Reduced disaster/disease/contamination-related health impacts
72923,Autonomous Community of Andalusia,en,5,5,Increased water security
72923,Autonomous Community of Andalusia,en,5,5,Improved air quality
72923,Autonomous Community of Andalusia,en,5,5,Reduced GHG emissions
72923,Autonomous Community of Andalusia,en,5,5,Protected/improved biodiversity and ecosystem services
72923,Autonomous Community of Andalusia,en,6,6,Improved water/soil quality
72923,Autonomous Community of Andalusia,en,6,6,Reduced natural resource depletion
72923,Autonomous Community of Andalusia,en,6,6,Increased food security
72923,Autonomous Community of Andalusia,en,6,6,Job creation
72923,Autonomous Community of Andalusia,en,6,6,Reduced GHG emissions
72923,Autonomous Community of Andalusia,en,6,6,Revenue generation
72923,Autonomous Community of Andalusia,en,6,6,Protected/improved biodiversity and ecosystem services
72923,Autonomous Community of Andalusia,en,8,8,Increased security/protection for poor/vulnerable populations
72923,Autonomous Community of Andalusia,en,8,8,Improved education and public awareness on climate issues
72923,Autonomous Community of Andalusia,en,8,8,Improved physical health
72923,Autonomous Community of Andalusia,en,8,8,Improved mental wellbeing/quality of life
72923,Autonomous Community of Andalusia,en,8,8,Improved preparedness for health service delivery
72923,Autonomous Community of Andalusia,en,8,8,Reduced health impacts from extreme heat or cold weather
72923,Autonomous Community of Andalusia,en,9,9,Reduced natural resource depletion
72923,Autonomous Community of Andalusia,en,9,9,Protected/improved biodiversity and ecosystem services
72923,Autonomous Community of Andalusia,en,10,10,Increased/improved green space
72923,Autonomous Community of Andalusia,en,10,10,Protected/improved biodiversity and ecosystem services
72920,Autonomous Community of Galicia,en,1,1,Improved water/soil quality
72920,Autonomous Community of Galicia,en,1,1,Increased food security
72920,Autonomous Community of Galicia,en,1,1,Increased water security
