Id,Signatory,Language,Order,Assessment_Id,Attachment_Title,Explore_Link_Text,DirectLink,Year_Of_Publication_Label,Year_Of_Publication,Further_Details_Label,Please_Explain,Attachment,Hyperlink,IsLocalFile,Factors
60183,City of Rzeszów,en,1,1,CRA,Explore City of Rzeszów's Climate Risk and Vulnerability Assessment,https://bip.erzeszow.pl/static/img/k02/BAS/ochrona_srodowiska/plan_adaptacji_do_zmian_klimatu/Plan%20Adaptacji%20do%20Zmian%20Klimatu%20Miasta%20Rzeszowa%20do%20roku%202030%20do%20Uchwa%C5%82y.pdf,Year of publication,2019,Further details,"Key Features of the Project:\nAssessment of Vulnerabilities: Rzeszów conducted a thorough analysis of its local climate risks, including urban flooding, heatwaves, and air quality degradation.\nStakeholder Involvement: The city collaborated with experts, community members, and local businesses to identify priority areas for intervention.\nTargeted Actions:\nDevelopment of green and blue infrastructure, such as parks and water retention systems, to combat heat and manage stormwater.\nModernization of flood protection measures.\nImprovements to public transportation and energy efficiency in municipal buildings.\nMethodologies: The plans were based on a mix of qualitative assessments and quantitative tools, such as climate scenario modeling, to predict future risks\n\n\nRzeszów has participated in significant climate risk and vulnerability assessments as part of broader Polish and EU initiatives. Notably, the city was included in the Urban Adaptation Plans for Cities with a Population Above 100,000, a project co-financed by the Polish Ministry of the Environment and the EU's Cohesion Fund. This project, implemented between 2016 and 2019, aimed to assess climate vulnerabilities and develop targeted adaptation measures for cities across Poland.",Plan Adaptacji do Zmian Klimatu Miasta Rzeszowa do roku 2030 do Uchwały.pdf,https://bip.erzeszow.pl/static/img/k02/BAS/ochrona_srodowiska/plan_adaptacji_do_zmian_klimatu/Plan%20Adaptacji%20do%20Zmian%20Klimatu%20Miasta%20Rzeszowa%20do%20roku%202030%20do%20Uchwa%C5%82y.pdf,0,"Assessment considers water security,Assessment considers nature,A process has been established for prioritizing identified hazards,Assessment includes sectors and/or urban systems,Assessment considers vulnerable populations"
36152,City of Tallinn,en,1,1,CRA,Explore City of Tallinn's Climate Risk and Vulnerability Assessment,"Tallinn Sustainable Energy and Climate Action Plan 2030, https://www.tallinn.ee/et/media/309750",Year of publication,2021,Further details,NULL,Tallinna_kliimakava_ENG_2021.pdf,"Tallinn Sustainable Energy and Climate Action Plan 2030, https://www.tallinn.ee/et/media/309750",0,Assessment includes consultation with partners
832078,Municipality of Mafra,en,2,2,CRA,Explore Municipality of Mafra's Climate Risk and Vulnerability Assessment,https://www.cm-mafra.pt/pages/645,Year of publication,2016,Further details,NULL,NULL,https://www.cm-mafra.pt/pages/645,0,"A process has been established for prioritizing identified hazards,A process has been established to update the assessment at least every five years"
36152,City of Tallinn,en,2,2,CRA,Explore City of Tallinn's Climate Risk and Vulnerability Assessment,"Tallinn Sustainable Energy and Climate Action Plan 2030, https://www.tallinn.ee/et/media/309750",Year of publication,2021,Further details,"Tallinn carried out the climate risk and vulnerability assessment (not available as an independent document) in preparation for the Sustainable Energy and Climate Action Plan (Climate-neutral Tallinn 2030, adopted on 03.06.2021. See Chapter 5.1 The Main Climate Risks Affecting the City of Tallinn). Most climate risk and vulnerability assessment results are included (only in Estonian) in Annex 1 (baseline) and Annex 2 (climate risk assessment tables) of the Sustainable Energy and Climate Action Plan.",NULL,"Tallinn Sustainable Energy and Climate Action Plan 2030, https://www.tallinn.ee/et/media/309750",0,"Assessment considers water security,Assessment considers nature,Assessment includes sectors and/or urban systems,Assessment includes consultation with partners"
54403,City of Tampere,en,1,1,CRA,Explore City of Tampere's Climate Risk and Vulnerability Assessment,https://www.tampere.fi/sites/default/files/2024-01/Tampereen_haavoittuvuusanalyysi_raportti.pdf,Year of publication,2024,Further details,"The assesment was used when defining the new measures for the Carbon Neutral Tampere 2030 Roadmap, which also includes the adaptation plan and adaptation actions.","Liite_1_Haavoittuvuuskortisto.pdf,Liite_2_Riskit_ja_haavoittuvuudet_koonti.xlsx,Liite_3_Vertailuanalyysi.pdf,Tampereen_haavoittuvuusanalyysi_raportti.pdf",https://www.tampere.fi/sites/default/files/2024-01/Tampereen_haavoittuvuusanalyysi_raportti.pdf,0,"Assessment considers water security,Assessment considers nature,A process has been established for prioritizing identified hazards,Identified hazards have been incorporated into the jurisdiction's overall risk management framework,Assessment includes sectors and/or urban systems,Assessment considers vulnerable populations,Assessment includes consultation with partners"
54403,City of Tampere,en,2,2,CRA,Explore City of Tampere's Climate Risk and Vulnerability Assessment,https://www.tampere.fi/sites/default/files/2022-10/ilmastonmuutokseen_sopeutuminen_tampereella_2022.pdf,Year of publication,2022,Further details,"This work is the City of Tampere's climate change adaptation and preparedness report compiling and complementing the previous reports. The report examines climate risks and vulnerability, the current state of adaptation, adequacy of measures and prioritisation. A former SECAP assessment was further updated for the analyses. In addition, effort has been made to identify operators responsible for adaptation work and stakeholders with whom adaptation work is carried out. The report has been prepared in such away that it can be used in the coordination and reporting of the adaptation and preparedness work of the City of Tampere and inthe planning of the units' own adaptation and preparedness measures. At the City of Tampere, the project has been directed by Development Manager Laura Inha, Special Adviser Kaisa Mustajärvi andDevelopment Specialist Emmi Nieminen from the Climate and Environmental Policy Unit, Head of Master Planning Pia Hastio fromthe Local Master Plan Unit, and Forestry Manager Anne Tuominen from the Real Estate Operations Unit. The work utilised studies and data on adaptation to climate change that had been carried out in Tampere in the past. The analyseswere complemented with a workshop held in January 2022 and additional expert interviews. The workshop was attended by 16representatives of the City of Tampere from ten different units and four Sitowise experts.Key background materials:- The City of Tampere's SECAP report (2019)- Impact assessment of the local master plan of Tampere's inner city on climate change adaptation and risk management (2020)- Carbon Neutral Tampere 2030' roadmap (2020) and Climate Watch (2021)- City of Tampere's CDP reporting and the WWF One Planet City compilation based on CDP reporting (2021)- Climate budget (annual), reporting of major investments in adaptation measures and operational expenditure- Internal report of the City of Tampere, including interviews related to the measures (2021)- Internal workshop of the City of Tampere on preparing for climate change, summary (03/2021) 4 Adapting to climate change and preparing for it, City of Tampere- Report of the Finnish Climate Panel 2/2021, Tampere Region (2021).The need for update of the risk and vulnerability assessment is assessed every second year, but updated at least every four years along with the update cycle of the Climate action plan. The assessment does not include a City level high emissions scenario, but the assessment is based on national assessment that includes County level (Pirkanmaa) scenarios also including high emission scenarios (https://www.ilmastopaneeli.fi/wp-content/uploads/2021/09/SUOMI-raportti_final.pdf).During 2023, the study will be deepened with a vulnerability analysis focusing on the most vulnerable populations to the risks of climate change. Infrastructure, buildings, livelihoods and important ecosystems will also be examined through spatial analysis. The report will be finished by the end of 2023.",TRE_sopeutuminen_saavutettava.pdf,https://www.tampere.fi/sites/default/files/2022-10/ilmastonmuutokseen_sopeutuminen_tampereella_2022.pdf,0,"Assessment considers water security,Assessment considers nature,Assessment includes a high-emissions scenario (i.e., RCP 8.5),A process has been established for prioritizing identified hazards,Identified hazards have been incorporated into the jurisdiction's overall risk management framework,Assessment considers vulnerable populations,A process has been established to update the assessment at least every five years"
54403,City of Tampere,en,3,3,CRA,Explore City of Tampere's Climate Risk and Vulnerability Assessment,https://www.tampere.fi/sites/default/files/2023-02/yk051_L%C3%A4mp%C3%B6saarekeilmi%C3%B6_11.11.2022__0.pdf,Year of publication,2022,Further details,"Several studies relevant to adaptation, such as the heat island effect study, were carried out in connection with the update of the master plan. On the basis of this study, provisions were made in the master plan for the greening of the urban environment, e.g. urban green development areas. Heat island zones were also used in the vulnerability analysis (2024). The master plan is now (2024) in the proposal phase.",Urban heat island survey of the Tampere inner city 2022.pdf,https://www.tampere.fi/sites/default/files/2023-02/yk051_L%C3%A4mp%C3%B6saarekeilmi%C3%B6_11.11.2022__0.pdf,0,A process has been established for prioritizing identified hazards
60126,City of Tartu,en,1,1,CRA,Explore City of Tartu's Climate Risk and Vulnerability Assessment,https://tartu.ee/sites/default/files/uploads/Linnavarad/SECAP/TartuEnergy2030.pdf\n\npage 34,Year of publication,2021,Further details,NULL,TartuEnergy2030.pdf,https://tartu.ee/sites/default/files/uploads/Linnavarad/SECAP/TartuEnergy2030.pdf\n\npage 34,0,None of the above
50154,City of Turku,en,1,1,CRA,Explore City of Turku's Climate Risk and Vulnerability Assessment,https://issuu.com/turunviestinta/docs/turku_climate_plan_2029,Year of publication,2022,Further details,"In addition to local risks in Turku, such risks and threats caused by global change were identified that would affect Turku if they were to realise. Examples of such threats are the increasing number of climate refugees or scarcity of imported products. Despite the principal boundary of the assessment, regional collaboration and its adequate functioning were also considered in expert interviews.",NULL,https://issuu.com/turunviestinta/docs/turku_climate_plan_2029,0,"Assessment considers water security,Assessment considers nature,A process has been established for prioritizing identified hazards,Identified hazards have been incorporated into the jurisdiction's overall risk management framework,Assessment includes sectors and/or urban systems,Assessment considers vulnerable populations,Assessment includes consultation with partners,A process has been established to update the assessment at least every five years"
31185,City of Warsaw,en,1,1,CRA,Explore City of Warsaw's Climate Risk and Vulnerability Assessment,https://pliki.um.warszawa.pl/index.php/s/pMYfmDfBeRB2xQn,Year of publication,2019,Further details,"Throughout the document, the elderly, children, people with disabilities and various types of chronic conditions, people affected by the phenomenon of energy poverty have been identified as vulnerable groups.",Projekt - Strategia adaptacji do zmian klimatu dla m.st. Warszawy.pdf,https://pliki.um.warszawa.pl/index.php/s/pMYfmDfBeRB2xQn,0,"Assessment considers water security,Assessment includes a high-emissions scenario (i.e., RCP 8.5),A process has been established for prioritizing identified hazards,Assessment considers vulnerable populations"
43921,City of Zagreb,en,1,1,CRA,Explore City of Zagreb's Climate Risk and Vulnerability Assessment,"No direct link available at this moment. The document will be published as a part of the future \'Programme of climate change mitigation, climate change adaptation and ozone layer protection\' which is currently in development.",Year of publication,2024,Further details,NULL,"Radna_podloga_za_program_ublazavanja.pdf,Radna_podloga_za_program_ublazavanja.pdf,Radna_podloga_za_program_ublazavanja.pdf","No direct link available at this moment. The document will be published as a part of the future \'Programme of climate change mitigation, climate change adaptation and ozone layer protection\' which is currently in development.",0,"Assessment considers water security,Assessment considers nature,Assessment includes a high-emissions scenario (i.e., RCP 8.5),Assessment includes sectors and/or urban systems,Assessment includes consultation with partners,A process has been established to update the assessment at least every five years"
31009,Copenhagen Municipality,en,1,1,CRA,Explore Copenhagen Municipality's Climate Risk and Vulnerability Assessment,https://international.kk.dk/sites/default/files/2021-09/Copenhagen%20Climate%20Adaptation%20Plan%20-%202011.pdf,Year of publication,2011,Further details,"The link provided gives access to the plan. The assessment is not published separately but performed as the basis for the plan. The plan describes the risk of flooding and financial losses due to flooding from rain and storm surge. In addition, it also touches upon changes in groundwater levels due to climate change, and the risk of Urban Heat Island effects and increasing temperatures in a changing world. The plan is partly implemented in a separate sector-specific cloudburst plan and a storm surge plan that describe in more detail the challenges and proposals for solutions, including socio-economic calculations and service goals. New risk assessments are continuously prepared in connection with the preparation of master plans for the implementation of the cloudburst plan. Also new risk assessments are continuously prepared in forming the basis for decisions regarding storm surge protection and the planning of an outer protection scheme of Copenhagen. Additionally, climate considerations are embedded and mainstreamed into Copenhagen's relevant plans and strategies, for example mobility, biodiversity, green infrastructure, groundwater etc",Copenhagen Climate Adaptation Plan - 2011.pdf,https://international.kk.dk/sites/default/files/2021-09/Copenhagen%20Climate%20Adaptation%20Plan%20-%202011.pdf,0,"Assessment includes a high-emissions scenario (i.e., RCP 8.5),Assessment considers nature,A process has been established for prioritizing identified hazards,Identified hazards have been incorporated into the jurisdiction's overall risk management framework,Assessment includes sectors and/or urban systems,Assessment considers vulnerable populations,Assessment includes consultation with partners,A process has been established to update the assessment at least every five years"
31009,Copenhagen Municipality,en,2,2,CRA,Explore Copenhagen Municipality's Climate Risk and Vulnerability Assessment,https://www.kk.dk/sites/default/files/agenda/1e989a09-2799-4d24-9a78-01681700ac3a/cb79c6ba-c807-4a44-b95a-6efcad9200ca-bilag-1_0.pdf,Year of publication,2021,Further details,"Based on the EU's Flood Directive, the City of Copenhagen is obligated to develop and revise a risk management plan every six years with the aim of mapping and planning for the minimization of flood hazards. The municipality's second plan was adopted and published in 2021. The risk management plan focuses on the threats from increasing sea level and storm surges, and establishes a range of objectives and measures aimed at reducing the risk of floodings. The plan also touches upon the aspect of emergency preparedness. The goals and targets are non-binding, but Copenhagen actively work to prove progress or achieve the objectives.",Risikostyringsplan.pdf,https://www.kk.dk/sites/default/files/agenda/1e989a09-2799-4d24-9a78-01681700ac3a/cb79c6ba-c807-4a44-b95a-6efcad9200ca-bilag-1_0.pdf,0,"Assessment includes a high-emissions scenario (i.e., RCP 8.5),Assessment considers nature,A process has been established for prioritizing identified hazards,Identified hazards have been incorporated into the jurisdiction's overall risk management framework,Assessment includes sectors and/or urban systems,Assessment includes consultation with partners,A process has been established to update the assessment at least every five years"
31009,Copenhagen Municipality,en,3,3,CRA,Explore Copenhagen Municipality's Climate Risk and Vulnerability Assessment,https://international.kk.dk/sites/default/files/2021-09/Cloudburst%20Management%20plan%202010.pdf,Year of publication,2012,Further details,"The link provided gives access to the plan. The assessment is not published separately but performed as the basis for the plan. The cloudburst plan has been prepared on the basis of the City of Copenhagen's climate adaptation plan from 2011. The cloudburst plan describes socio-economic conditions for the choice of solutions and the level of protection against cloudbursts. Furthermore, an overall method for securing against cloudbursts and estimates of construction cost have been described.",Cloudburst Management plan 2010.pdf,https://international.kk.dk/sites/default/files/2021-09/Cloudburst%20Management%20plan%202010.pdf,0,"Assessment includes a high-emissions scenario (i.e., RCP 8.5),Assessment considers nature,A process has been established for prioritizing identified hazards,Assessment considers transition risks,Identified hazards have been incorporated into the jurisdiction's overall risk management framework,Assessment includes sectors and/or urban systems,Assessment includes consultation with partners,A process has been established to update the assessment at least every five years"
31009,Copenhagen Municipality,en,4,4,CRA,Explore Copenhagen Municipality's Climate Risk and Vulnerability Assessment,https://kk.sites.itera.dk/apps/kk_pub2/pdf/1915_80b7f06dd0f1.pdf,Year of publication,2017,Further details,"The link provided gives access to the plan. The assessment is not published separately but performed as the basis for the plan. The plan covers all relevant sectors in Copenhagen, that are vulnerable to floodings caused by storm surges. The plan is linked to Copenhagen's adaptation plan and is a sector-specific plan on how to prevent the consequences of rising sea level and storm surges. The recommendation in the plan is based on socio-economic calculations, and additionally the plan describes socio-economic conditions for the choice of solutions. The plan does not present goals and targets, but instead formulates a series of recommendations, that are politically adopted and form the foundation for the strategic planning of protecting Copenhagen against storm surges.",storm-surge-plan-for-copenhagen-2017-_1915 (1).pdf,https://kk.sites.itera.dk/apps/kk_pub2/pdf/1915_80b7f06dd0f1.pdf,0,"Assessment includes a high-emissions scenario (i.e., RCP 8.5),Assessment considers nature,A process has been established for prioritizing identified hazards,Assessment considers transition risks,Assessment includes sectors and/or urban systems"
55317,County Galway,en,1,1,CRA,Explore County Galway's Climate Risk and Vulnerability Assessment,www.galwaycity.ie,Year of publication,2023,Further details,Hazards have been added tot he Local Authority Climate action plane as action with a date for completion.,Galway City Climate Risk Assessment Report.pdf,www.galwaycity.ie,0,A process has been established for prioritizing identified hazards
62868,Eskişehir Metropolitan Municipality,en,1,1,CRA,Explore Eskişehir Metropolitan Municipality's Climate Risk and Vulnerability Assessment,https://eskisehir.bel.tr/dosyalar/icerik/secap-en.pdf,Year of publication,2024,Further details,"Within the boundaries of the Eskişehir Metropolitan Municipality, the selected sectors are buildings, energy, transportation, waste, and wastewater, agriculture and livestock and greenhouse gas emissions related to the industrial sector have also been calculated. The industrial sector, which can largely be characterized as private sector, is not under the enforcement authority of the Eskişehir Metropolitan Municipality. Therefore, when setting mitigation targets, industrial greenhouse gases have been excluded from the scope.\nThe base year is the year against which the emission mitigation target will be compared to when monitoring the results of proposed actions. The year is chosen taking into account a year with the most reliable data available and without extraordinary events (such as a pandemic, etc.). In this context, the base year for Eskişehir has been selected as 2021.",SECAP_v21_EN_EMM.pdf,https://eskisehir.bel.tr/dosyalar/icerik/secap-en.pdf,0,"Assessment considers water security,Assessment considers nature,Assessment includes a high-emissions scenario (i.e., RCP 8.5),A process has been established for prioritizing identified hazards"
31163,Istanbul Metropolitan Municipality,en,1,1,CRA,Explore Istanbul Metropolitan Municipality's Climate Risk and Vulnerability Assessment,https://surdurulebilirulasim.istanbul/wp-content/uploads/2022/12/SUMP-REPORT-rs.pdf,Year of publication,2022,Further details,"The climate risk and vulnerability in the transportation sector are evaluated as follows.The measures developed within the scope of the Istanbul Sustainable Urban Mobility Plan (SUMP), prepared in line with the Istanbul Climate Vision, aim to create a resilient transportation system and increase the accessibility of vulnerable groups within the framework of social inclusion.Evaluations in terms of social inclusion in the transportation sector; Social impacts (accessibility, security, empowerment of underrepresented groups and a sense of freedom), Environment and community health (physical activities, pollution and emissions), Economic impacts (journey times, affordability, resilience to disasters, land use, local economy, informal transportation and welfare) and Governance, which have been gathered under 18 parameters.",SUMP-REPORT-rs.pdf,https://surdurulebilirulasim.istanbul/wp-content/uploads/2022/12/SUMP-REPORT-rs.pdf,0,"Assessment considers nature,Assessment considers transition risks,Assessment includes sectors and/or urban systems,Identified hazards have been incorporated into the jurisdiction's overall risk management framework,Assessment considers vulnerable populations,Assessment includes consultation with partners"
