Id,Signatory,Language,ClimateRiskAssesmentExists,Title,Subheading,Abstract,Cra_Title,Cra_Abstract,Attachments,Hazards_Title,Hazards_Abstract
54408,Aarhus Municipality,en,1,Risks and vulnerabilities,"Climate risks emerge from a combination of intersecting factors, including climate hazards, level of exposure, and vulnerability.","Climate risk assessments aim to evaluate present and future risks by combining local and regional data on hazards, exposure, and vulnerability, under current and future climatic scenarios and socio-economic conditions. The outcome of a climate risk assessment is a stronger understanding of key risks, including sectors, systems, and social groups most affected. This evidence can be used as an input for selecting suitable climate adaptation solutions.",Climate Risk Assessment,The CRA conducted considers the following factors:,Attachments,Climate-related hazards & sectors most exposed,Lorem ipsum dolor sit amet consectetur. Quam porta convallis ultrices aliquet. Imperdiet maecenas at velit gravida arcu blandit eget. Etiam tellus vulputate mi vitae bibendum fermentum condimentum facilisis. Amet et sed nunc pretium fames nibh lacus mi magna.
72923,Autonomous Community of Andalusia,en,1,Risks and vulnerabilities,"Climate risks emerge from a combination of intersecting factors, including climate hazards, level of exposure, and vulnerability.","Climate risk assessments aim to evaluate present and future risks by combining local and regional data on hazards, exposure, and vulnerability, under current and future climatic scenarios and socio-economic conditions. The outcome of a climate risk assessment is a stronger understanding of key risks, including sectors, systems, and social groups most affected. This evidence can be used as an input for selecting suitable climate adaptation solutions.",Climate Risk Assessment,The CRA conducted considers the following factors:,Attachments,Climate-related hazards & sectors most exposed,Lorem ipsum dolor sit amet consectetur. Quam porta convallis ultrices aliquet. Imperdiet maecenas at velit gravida arcu blandit eget. Etiam tellus vulputate mi vitae bibendum fermentum condimentum facilisis. Amet et sed nunc pretium fames nibh lacus mi magna.
72927,Autonomous Community of Catalonia,en,1,Risks and vulnerabilities,"Climate risks emerge from a combination of intersecting factors, including climate hazards, level of exposure, and vulnerability.","Climate risk assessments aim to evaluate present and future risks by combining local and regional data on hazards, exposure, and vulnerability, under current and future climatic scenarios and socio-economic conditions. The outcome of a climate risk assessment is a stronger understanding of key risks, including sectors, systems, and social groups most affected. This evidence can be used as an input for selecting suitable climate adaptation solutions.",Climate Risk Assessment,The CRA conducted considers the following factors:,Attachments,Climate-related hazards & sectors most exposed,Lorem ipsum dolor sit amet consectetur. Quam porta convallis ultrices aliquet. Imperdiet maecenas at velit gravida arcu blandit eget. Etiam tellus vulputate mi vitae bibendum fermentum condimentum facilisis. Amet et sed nunc pretium fames nibh lacus mi magna.
72920,Autonomous Community of Galicia,en,1,Risks and vulnerabilities,"Climate risks emerge from a combination of intersecting factors, including climate hazards, level of exposure, and vulnerability.","Climate risk assessments aim to evaluate present and future risks by combining local and regional data on hazards, exposure, and vulnerability, under current and future climatic scenarios and socio-economic conditions. The outcome of a climate risk assessment is a stronger understanding of key risks, including sectors, systems, and social groups most affected. This evidence can be used as an input for selecting suitable climate adaptation solutions.",Climate Risk Assessment,The CRA conducted considers the following factors:,Attachments,Climate-related hazards & sectors most exposed,Lorem ipsum dolor sit amet consectetur. Quam porta convallis ultrices aliquet. Imperdiet maecenas at velit gravida arcu blandit eget. Etiam tellus vulputate mi vitae bibendum fermentum condimentum facilisis. Amet et sed nunc pretium fames nibh lacus mi magna.
72924,Autonomous Community of Navarre,en,1,Risks and vulnerabilities,"Climate risks emerge from a combination of intersecting factors, including climate hazards, level of exposure, and vulnerability.","Climate risk assessments aim to evaluate present and future risks by combining local and regional data on hazards, exposure, and vulnerability, under current and future climatic scenarios and socio-economic conditions. The outcome of a climate risk assessment is a stronger understanding of key risks, including sectors, systems, and social groups most affected. This evidence can be used as an input for selecting suitable climate adaptation solutions.",Climate Risk Assessment,The CRA conducted considers the following factors:,Attachments,Climate-related hazards & sectors most exposed,Lorem ipsum dolor sit amet consectetur. Quam porta convallis ultrices aliquet. Imperdiet maecenas at velit gravida arcu blandit eget. Etiam tellus vulputate mi vitae bibendum fermentum condimentum facilisis. Amet et sed nunc pretium fames nibh lacus mi magna.
72926,Autonomous Community of the Basque Country,en,1,Risks and vulnerabilities,"Climate risks emerge from a combination of intersecting factors, including climate hazards, level of exposure, and vulnerability.","Climate risk assessments aim to evaluate present and future risks by combining local and regional data on hazards, exposure, and vulnerability, under current and future climatic scenarios and socio-economic conditions. The outcome of a climate risk assessment is a stronger understanding of key risks, including sectors, systems, and social groups most affected. This evidence can be used as an input for selecting suitable climate adaptation solutions.",Climate Risk Assessment,The CRA conducted considers the following factors:,Attachments,Climate-related hazards & sectors most exposed,Lorem ipsum dolor sit amet consectetur. Quam porta convallis ultrices aliquet. Imperdiet maecenas at velit gravida arcu blandit eget. Etiam tellus vulputate mi vitae bibendum fermentum condimentum facilisis. Amet et sed nunc pretium fames nibh lacus mi magna.
73095,Auvergne-Rhône-Alpes Region,en,1,Risks and vulnerabilities,"Climate risks emerge from a combination of intersecting factors, including climate hazards, level of exposure, and vulnerability.","Climate risk assessments aim to evaluate present and future risks by combining local and regional data on hazards, exposure, and vulnerability, under current and future climatic scenarios and socio-economic conditions. The outcome of a climate risk assessment is a stronger understanding of key risks, including sectors, systems, and social groups most affected. This evidence can be used as an input for selecting suitable climate adaptation solutions.",Climate Risk Assessment,The CRA conducted considers the following factors:,Attachments,Climate-related hazards & sectors most exposed,Lorem ipsum dolor sit amet consectetur. Quam porta convallis ultrices aliquet. Imperdiet maecenas at velit gravida arcu blandit eget. Etiam tellus vulputate mi vitae bibendum fermentum condimentum facilisis. Amet et sed nunc pretium fames nibh lacus mi magna.
44076,Bursa Metropolitan Municipality,en,0,Risks and vulnerabilities,"Climate risks emerge from a combination of intersecting factors, including climate hazards, level of exposure, and vulnerability.","Climate risk assessments aim to evaluate present and future risks by combining local and regional data on hazards, exposure, and vulnerability, under current and future climatic scenarios and socio-economic conditions. The outcome of a climate risk assessment is a stronger understanding of key risks, including sectors, systems, and social groups most affected. This evidence can be used as an input for selecting suitable climate adaptation solutions.",Climate Risk Assessment,The CRA conducted considers the following factors:,Attachments,Climate-related hazards & sectors most exposed,Lorem ipsum dolor sit amet consectetur. Quam porta convallis ultrices aliquet. Imperdiet maecenas at velit gravida arcu blandit eget. Etiam tellus vulputate mi vitae bibendum fermentum condimentum facilisis. Amet et sed nunc pretium fames nibh lacus mi magna.
54419,City and Metropolitan Municipality of Strasbourg,en,1,Risks and vulnerabilities,"Climate risks emerge from a combination of intersecting factors, including climate hazards, level of exposure, and vulnerability.","Climate risk assessments aim to evaluate present and future risks by combining local and regional data on hazards, exposure, and vulnerability, under current and future climatic scenarios and socio-economic conditions. The outcome of a climate risk assessment is a stronger understanding of key risks, including sectors, systems, and social groups most affected. This evidence can be used as an input for selecting suitable climate adaptation solutions.",Climate Risk Assessment,The CRA conducted considers the following factors:,Attachments,Climate-related hazards & sectors most exposed,Lorem ipsum dolor sit amet consectetur. Quam porta convallis ultrices aliquet. Imperdiet maecenas at velit gravida arcu blandit eget. Etiam tellus vulputate mi vitae bibendum fermentum condimentum facilisis. Amet et sed nunc pretium fames nibh lacus mi magna.
36247,City of Arezzo,en,0,Risks and vulnerabilities,"Climate risks emerge from a combination of intersecting factors, including climate hazards, level of exposure, and vulnerability.","Climate risk assessments aim to evaluate present and future risks by combining local and regional data on hazards, exposure, and vulnerability, under current and future climatic scenarios and socio-economic conditions. The outcome of a climate risk assessment is a stronger understanding of key risks, including sectors, systems, and social groups most affected. This evidence can be used as an input for selecting suitable climate adaptation solutions.",Climate Risk Assessment,The CRA conducted considers the following factors:,Attachments,Climate-related hazards & sectors most exposed,Lorem ipsum dolor sit amet consectetur. Quam porta convallis ultrices aliquet. Imperdiet maecenas at velit gravida arcu blandit eget. Etiam tellus vulputate mi vitae bibendum fermentum condimentum facilisis. Amet et sed nunc pretium fames nibh lacus mi magna.
36469,City of L'Aquila,en,0,Risks and vulnerabilities,"Climate risks emerge from a combination of intersecting factors, including climate hazards, level of exposure, and vulnerability.","Climate risk assessments aim to evaluate present and future risks by combining local and regional data on hazards, exposure, and vulnerability, under current and future climatic scenarios and socio-economic conditions. The outcome of a climate risk assessment is a stronger understanding of key risks, including sectors, systems, and social groups most affected. This evidence can be used as an input for selecting suitable climate adaptation solutions.",Climate Risk Assessment,The CRA conducted considers the following factors:,Attachments,Climate-related hazards & sectors most exposed,Lorem ipsum dolor sit amet consectetur. Quam porta convallis ultrices aliquet. Imperdiet maecenas at velit gravida arcu blandit eget. Etiam tellus vulputate mi vitae bibendum fermentum condimentum facilisis. Amet et sed nunc pretium fames nibh lacus mi magna.
