Id,Signatory,Language,Order,Adaptation_Goal_Id,Climate_Hazard
50154,City of Turku,en,6,4,Biodiversity loss
50154,City of Turku,en,6,4,Soil degradation/erosion
50154,City of Turku,en,6,4,Urban flooding
50154,City of Turku,en,6,4,Extreme cold
50154,City of Turku,en,6,4,River flooding
50154,City of Turku,en,6,4,Mass movement
50154,City of Turku,en,6,4,Water stress
50154,City of Turku,en,6,4,Snow and ice
50154,City of Turku,en,6,4,Infectious disease
50154,City of Turku,en,6,4,Heavy precipitation
50154,City of Turku,en,6,4,Other coastal events
50154,City of Turku,en,6,4,Extreme heat
50154,City of Turku,en,6,4,Storm
50154,City of Turku,en,6,4,Fire weather (risk of wildfires)
50154,City of Turku,en,6,4,Coastal flooding (incl. sea level rise)
50154,City of Turku,en,6,4,Heat stress
50154,City of Turku,en,6,4,Extreme wind
50154,City of Turku,en,6,4,Loss of green space/green cover
50154,City of Turku,en,6,4,Drought
50154,City of Turku,en,7,2,Soil degradation/erosion
50154,City of Turku,en,7,2,Biodiversity loss
50154,City of Turku,en,7,2,Urban flooding
50154,City of Turku,en,7,2,Extreme cold
50154,City of Turku,en,7,2,Mass movement
50154,City of Turku,en,7,2,River flooding
50154,City of Turku,en,7,2,Snow and ice
50154,City of Turku,en,7,2,Infectious disease
50154,City of Turku,en,7,2,Heavy precipitation
50154,City of Turku,en,7,2,Other coastal events
50154,City of Turku,en,7,2,Extreme heat
50154,City of Turku,en,7,2,Storm
50154,City of Turku,en,7,2,Fire weather (risk of wildfires)
50154,City of Turku,en,7,2,Coastal flooding (incl. sea level rise)
50154,City of Turku,en,7,2,Extreme wind
50154,City of Turku,en,7,2,Loss of green space/green cover
50154,City of Turku,en,7,2,Drought
50154,City of Turku,en,8,7,Soil degradation/erosion
50154,City of Turku,en,8,7,Biodiversity loss
50154,City of Turku,en,8,7,Urban flooding
50154,City of Turku,en,8,7,Extreme cold
50154,City of Turku,en,8,7,Mass movement
50154,City of Turku,en,8,7,River flooding
50154,City of Turku,en,8,7,Water stress
50154,City of Turku,en,8,7,Snow and ice
50154,City of Turku,en,8,7,Infectious disease
50154,City of Turku,en,8,7,Other forms of climate-induced landscape shift/degradation
50154,City of Turku,en,8,7,Heavy precipitation
50154,City of Turku,en,8,7,Increased water demand
50154,City of Turku,en,8,7,Other coastal events
50154,City of Turku,en,8,7,Extreme heat
50154,City of Turku,en,8,7,Storm
50154,City of Turku,en,8,7,Fire weather (risk of wildfires)
50154,City of Turku,en,8,7,Coastal flooding (incl. sea level rise)
50154,City of Turku,en,8,7,"Hurricanes, cyclones, and/or typhoons"
50154,City of Turku,en,8,7,Heat stress
50154,City of Turku,en,8,7,Oceanic events
50154,City of Turku,en,8,7,Extreme wind
50154,City of Turku,en,8,7,Loss of green space/green cover
50154,City of Turku,en,8,7,Drought
31185,City of Warsaw,en,1,1,"Other, please specify"
31185,City of Warsaw,en,3,2,Soil degradation/erosion
31185,City of Warsaw,en,3,2,Biodiversity loss
31185,City of Warsaw,en,3,2,Drought
31185,City of Warsaw,en,3,2,Urban flooding
31185,City of Warsaw,en,3,2,Water stress
31185,City of Warsaw,en,3,2,Heat stress
31185,City of Warsaw,en,3,2,Heavy precipitation
31185,City of Warsaw,en,3,2,Loss of green space/green cover
31185,City of Warsaw,en,3,2,Extreme heat
31185,City of Warsaw,en,4,3,Biodiversity loss
31185,City of Warsaw,en,4,3,Extreme heat
31185,City of Warsaw,en,4,3,Urban flooding
31185,City of Warsaw,en,4,3,Water stress
31185,City of Warsaw,en,4,3,Heat stress
31185,City of Warsaw,en,4,3,Loss of green space/green cover
31185,City of Warsaw,en,4,3,Drought
31185,City of Warsaw,en,5,4,Biodiversity loss
31185,City of Warsaw,en,5,4,Loss of green space/green cover
31185,City of Warsaw,en,5,4,Urban flooding
31185,City of Warsaw,en,5,4,Water stress
31185,City of Warsaw,en,5,4,Heat stress
31185,City of Warsaw,en,5,4,Extreme heat
31185,City of Warsaw,en,5,4,Drought
31185,City of Warsaw,en,6,5,Biodiversity loss
31185,City of Warsaw,en,6,5,Urban flooding
31185,City of Warsaw,en,6,5,Heat stress
31185,City of Warsaw,en,6,5,Extreme heat
31009,Copenhagen Municipality,en,1,1,Storm
31009,Copenhagen Municipality,en,1,1,Coastal flooding (incl. sea level rise)
62868,Eskişehir Metropolitan Municipality,en,1,1,Storm
62868,Eskişehir Metropolitan Municipality,en,1,1,Fire weather (risk of wildfires)
