Id,Signatory,Adaptation_GoalId,Climate_Hazard,Language
50154,City of Turku,Adaptation goal 4,Biodiversity loss,en
50154,City of Turku,Adaptation goal 4,Soil degradation/erosion,en
50154,City of Turku,Adaptation goal 4,Urban flooding,en
50154,City of Turku,Adaptation goal 4,Extreme cold,en
50154,City of Turku,Adaptation goal 4,River flooding,en
50154,City of Turku,Adaptation goal 4,Mass movement,en
50154,City of Turku,Adaptation goal 4,Water stress,en
50154,City of Turku,Adaptation goal 4,Snow and ice,en
50154,City of Turku,Adaptation goal 4,Infectious disease,en
50154,City of Turku,Adaptation goal 4,Heavy precipitation,en
50154,City of Turku,Adaptation goal 4,Other coastal events,en
50154,City of Turku,Adaptation goal 4,Extreme heat,en
50154,City of Turku,Adaptation goal 4,Storm,en
50154,City of Turku,Adaptation goal 4,Fire weather (risk of wildfires),en
50154,City of Turku,Adaptation goal 4,Coastal flooding (incl. sea level rise),en
50154,City of Turku,Adaptation goal 4,Heat stress,en
50154,City of Turku,Adaptation goal 4,Extreme wind,en
50154,City of Turku,Adaptation goal 4,Loss of green space/green cover,en
50154,City of Turku,Adaptation goal 4,Drought,en
50154,City of Turku,Adaptation goal 2,Soil degradation/erosion,en
50154,City of Turku,Adaptation goal 2,Biodiversity loss,en
50154,City of Turku,Adaptation goal 2,Urban flooding,en
50154,City of Turku,Adaptation goal 2,Extreme cold,en
50154,City of Turku,Adaptation goal 2,Mass movement,en
50154,City of Turku,Adaptation goal 2,River flooding,en
50154,City of Turku,Adaptation goal 2,Snow and ice,en
50154,City of Turku,Adaptation goal 2,Infectious disease,en
50154,City of Turku,Adaptation goal 2,Heavy precipitation,en
50154,City of Turku,Adaptation goal 2,Other coastal events,en
50154,City of Turku,Adaptation goal 2,Extreme heat,en
50154,City of Turku,Adaptation goal 2,Storm,en
50154,City of Turku,Adaptation goal 2,Fire weather (risk of wildfires),en
50154,City of Turku,Adaptation goal 2,Coastal flooding (incl. sea level rise),en
50154,City of Turku,Adaptation goal 2,Extreme wind,en
50154,City of Turku,Adaptation goal 2,Loss of green space/green cover,en
50154,City of Turku,Adaptation goal 2,Drought,en
50154,City of Turku,Adaptation goal 7,Soil degradation/erosion,en
50154,City of Turku,Adaptation goal 7,Biodiversity loss,en
50154,City of Turku,Adaptation goal 7,Urban flooding,en
50154,City of Turku,Adaptation goal 7,Extreme cold,en
50154,City of Turku,Adaptation goal 7,Mass movement,en
50154,City of Turku,Adaptation goal 7,River flooding,en
50154,City of Turku,Adaptation goal 7,Water stress,en
50154,City of Turku,Adaptation goal 7,Snow and ice,en
50154,City of Turku,Adaptation goal 7,Infectious disease,en
50154,City of Turku,Adaptation goal 7,Other forms of climate-induced landscape shift/degradation,en
50154,City of Turku,Adaptation goal 7,Heavy precipitation,en
50154,City of Turku,Adaptation goal 7,Increased water demand,en
50154,City of Turku,Adaptation goal 7,Other coastal events,en
50154,City of Turku,Adaptation goal 7,Extreme heat,en
50154,City of Turku,Adaptation goal 7,Storm,en
50154,City of Turku,Adaptation goal 7,Fire weather (risk of wildfires),en
50154,City of Turku,Adaptation goal 7,Coastal flooding (incl. sea level rise),en
50154,City of Turku,Adaptation goal 7,"Hurricanes, cyclones, and/or typhoons",en
50154,City of Turku,Adaptation goal 7,Heat stress,en
50154,City of Turku,Adaptation goal 7,Oceanic events,en
50154,City of Turku,Adaptation goal 7,Extreme wind,en
50154,City of Turku,Adaptation goal 7,Loss of green space/green cover,en
50154,City of Turku,Adaptation goal 7,Drought,en
31185,City of Warsaw,Adaptation goal 1,"Other, please specify",en
31185,City of Warsaw,Adaptation goal 2,Soil degradation/erosion,en
31185,City of Warsaw,Adaptation goal 2,Biodiversity loss,en
31185,City of Warsaw,Adaptation goal 2,Drought,en
31185,City of Warsaw,Adaptation goal 2,Urban flooding,en
31185,City of Warsaw,Adaptation goal 2,Water stress,en
31185,City of Warsaw,Adaptation goal 2,Heat stress,en
31185,City of Warsaw,Adaptation goal 2,Heavy precipitation,en
31185,City of Warsaw,Adaptation goal 2,Loss of green space/green cover,en
31185,City of Warsaw,Adaptation goal 2,Extreme heat,en
31185,City of Warsaw,Adaptation goal 3,Biodiversity loss,en
31185,City of Warsaw,Adaptation goal 3,Extreme heat,en
31185,City of Warsaw,Adaptation goal 3,Urban flooding,en
31185,City of Warsaw,Adaptation goal 3,Water stress,en
31185,City of Warsaw,Adaptation goal 3,Heat stress,en
31185,City of Warsaw,Adaptation goal 3,Loss of green space/green cover,en
31185,City of Warsaw,Adaptation goal 3,Drought,en
31185,City of Warsaw,Adaptation goal 4,Biodiversity loss,en
31185,City of Warsaw,Adaptation goal 4,Loss of green space/green cover,en
31185,City of Warsaw,Adaptation goal 4,Urban flooding,en
31185,City of Warsaw,Adaptation goal 4,Water stress,en
31185,City of Warsaw,Adaptation goal 4,Heat stress,en
31185,City of Warsaw,Adaptation goal 4,Extreme heat,en
31185,City of Warsaw,Adaptation goal 4,Drought,en
31185,City of Warsaw,Adaptation goal 5,Biodiversity loss,en
31185,City of Warsaw,Adaptation goal 5,Urban flooding,en
