Id,Language,Signatory,Adaptation_Goal_Id,Title,More_Details_Label,Climate_Hazards_Addressed_Label,Description_Label,Description,Comments_Label,Comments,Order,Climate_Action_Title,Climate_Action_Abstract
50154,en,City of Turku,Adaptation goal 4,Investments to enhance resilience (in line with the UN Sendai Framework for Disaster Risk Reduction 2015-2030),More details,Climate hazards addressed,Description of metric/indicator used to track goal,Implementation is annually monitored by Turku City Council,Comments,"Investments to improve resilience\n\nThe service reliability of critical infrastructure will be improved proactively and cost-efficiently in collaboration with other operators in the area. Significant investments related to preparedness will also be implemented through the Turku City Group's subsidiaries. Examples of these include:\n\n−improving the service reliability of the electricity network in case of storms, floods and periods of heat\n−increasing self-sufficiency in energy\n−improving the service reliability of systems in water services\n−improving the service reliability of the wastewater network and wastewater treatment plant.\n\nThrough public procurement, the city will also seek to advance adaptation measures such as the development of local and sustainable food production.\n\nIn addition to public investments, private investments can also help advance adaptation and prevent the impacts of climate risks. With such measures, it is possible to develop the resilience of city residents, communities and the whole city.\n−Turku will provide information and encouragement towards measures and investments targeted at adapting to climate change.\n−Critical operators are encouraged to make their own risk assessments and preparedness plans and to make the needed investments in case of prolonged interruptions in electricity distribution in the main grid, for instance.",6,"Climate action plans and strategies addressing mitigation, adaptation and/or energy","Signatories were asked to report on their Climate action plans and strategies addressing mitigation, adaptation, and/or energy"
50154,en,City of Turku,Adaptation goal 2,Understanding risks (in line with the UN Sendai Framework for Disaster Risk Reduction 2015-2030),More details,Climate hazards addressed,Description of metric/indicator used to track goal,Implementation is annually monitored by Turku City Council,Comments,"Understanding risks by increasing data on climate\n\nThe impacts of climate change are manifold, and they partly involve significant uncertainty. These impacts can be sudden and unpredictable. Turku will utilise up-to-date data on the state of the world and environment, which are actively monitored.\n\n−The monitoring of the state of the environment will be reinforced and sufficient resources will be allocated for this.\n−We will work closely with higher education institutions and educational institutions in the area and their know-how will be harnessed as a strength.\n−Solutions will be sought in collaboration beyond municipal borders and sectors \n−We will distribute information and actively deliver communication about climate risks and adaptation.\n\nThe development of risks, their components and their impacts will be monitored, and suitable indicators will be determined for monitoring.",7,"Climate action plans and strategies addressing mitigation, adaptation and/or energy","Signatories were asked to report on their Climate action plans and strategies addressing mitigation, adaptation, and/or energy"
50154,en,City of Turku,Adaptation goal 7,EU Mission: Adaptation to Climate Change,More details,Climate hazards addressed,Description of metric/indicator used to track goal,Implementation is annually monitored by Turku City Council,Comments,"Turku is one of the EU Mission Cities, which contribute to putting the EU's adaptation strategy in practice by helping the regions to:\n- better understand the climate risks they are and will be confronted with in the future\n- develop their pathways to be better prepared and cope with the changing climate\n- test and deploy on the ground innovative solutions needed to build resilience. \n\nThe new strategy sets out how the European Union can adapt to the unavoidable impacts of climate change and become climate resilient by 2050.The Strategy has four principle objectives: to make adaptation smarter, swifter and more systemic, and to step up international action on adaptation to climate change. \n\nMore information: https://climate.ec.europa.eu/eu-action/adaptation-climate-change/eu-adaptation-strategy_en",8,"Climate action plans and strategies addressing mitigation, adaptation and/or energy","Signatories were asked to report on their Climate action plans and strategies addressing mitigation, adaptation, and/or energy"
31185,en,City of Warsaw,Adaptation goal 1,"PREPARING WARSAW FOR THE COMING CLIMATE CHANGE, MAINLY BY MITIGATING THE EFFECTS AND ENSURING THE SMOOTH FUNCTIONING OF THE CITY AT ACCEPTABLE ECONOMIC, SOCIAL AND ENVIRONMENTAL COSTS",More details,Climate hazards addressed,Description of metric/indicator used to track goal,not applicable,Comments,"Document is high level strategy without integrated Action Plan or Roadmap. Adaptation measures were mainstreamed through Environemental Protection Programme & Units statutory measures (e.g. retention, greenery, etc.). Evaluation of the strategy and an updated Adaptation Strategy with Action Plan is planned to be developed in 2025.",1,"Climate action plans and strategies addressing mitigation, adaptation and/or energy","Signatories were asked to report on their Climate action plans and strategies addressing mitigation, adaptation, and/or energy"
31185,en,City of Warsaw,Adaptation goal 2,Increasing biologically active surfaces and removing impermeable surfaces\n,More details,Climate hazards addressed,Description of metric/indicator used to track goal,"R1 - Increasing biologically active surfaces and removing impermeable surfaces - area of impervious land converted to biologically active surface and number and retention capacity of implemented rainwater and meltwater retention solutions\nIncrease in unsealed area in Warsaw (cumulative in m2):\n2020- 987\n2021-5132,6\n2022- 6528",Comments,The Green City and Climate Action Plan of Warsaw ('GCCAP' or 'Road map') aims to support the city in its pursuit of climate neutrality and resilience.,3,"Climate action plans and strategies addressing mitigation, adaptation and/or energy","Signatories were asked to report on their Climate action plans and strategies addressing mitigation, adaptation, and/or energy"
31185,en,City of Warsaw,Adaptation goal 3,Protection and restoration of valuable green areas,More details,Climate hazards addressed,Description of metric/indicator used to track goal,"R2 - Protection and restoration of valuable green areas - the area of the purchased land of natural value and increase in the value of the selected biodiversity indicator, in line with the Warsaw Index of Biological Diversity",Comments,The Green City and ClimateAction PlanofWarsaw ('GCCAP' or 'Road map') aims to support the city in its pursuit of climate neutrality and resilience.\n,4,"Climate action plans and strategies addressing mitigation, adaptation and/or energy","Signatories were asked to report on their Climate action plans and strategies addressing mitigation, adaptation, and/or energy"
31185,en,City of Warsaw,Adaptation goal 4,Preservation & restoration of urban greenery Zakole Wawerskie,More details,Climate hazards addressed,Description of metric/indicator used to track goal,"R3 - Preservation & restoration of urban greenery Zakole Wawerskie - the area of protected fragments of the Zakole Wawerskie \nThe Green City and Climate actions within this section focus on developing spatial planning measures to safeguard existing green space, as well as implementing targeted preservation and restoration programs in areas of particular ecological value, such as the Zakole Wawerskie . Actions also include increasing the share of greenery, including trees in public spaces and green areas in the city, as well as the widespread use of permeable surfaces and solutions based on nature, such as rain gardens, ditches and bioretention basins, in order to improve the city's resistance to hydrological and thermal hazards.\n",Comments,The Green City and ClimateAction PlanofWarsaw ('GCCAP' or 'Road map') aims to support the city in its pursuit of climate neutrality and resilience.\n,5,"Climate action plans and strategies addressing mitigation, adaptation and/or energy","Signatories were asked to report on their Climate action plans and strategies addressing mitigation, adaptation, and/or energy"
31185,en,City of Warsaw,Adaptation goal 5,Greening streets,More details,Climate hazards addressed,Description of metric/indicator used to track goal,"R4 - Greening streets - the number and area of tree and shrub plantings and rain gardens created and retention basins made, ensuring reduced rainwater run-off.\nIncrease in the number of tree plantings in Warsaw (in units cumulatively):\n2019- 361925\n2020- 391097\n2021- 507616\n2022- 591571\n2023- 693354\n\n",Comments,The Green City and ClimateAction PlanofWarsaw ('GCCAP' or 'Road map') aims to support the city in its pursuit of climate neutrality and resilience.\n,6,"Climate action plans and strategies addressing mitigation, adaptation and/or energy","Signatories were asked to report on their Climate action plans and strategies addressing mitigation, adaptation, and/or energy"
31009,en,Copenhagen Municipality,Adaptation goal 1,Copenhagen is protected by an outer protection scheme (storm surge protection and flooding),More details,Climate hazards addressed,Description of metric/indicator used to track goal,Copenhagen is protected to a level equivalent to a 1000-year storm surge in 2100,Comments,n/a,1,"Climate action plans and strategies addressing mitigation, adaptation and/or energy","Signatories were asked to report on their Climate action plans and strategies addressing mitigation, adaptation, and/or energy"
62868,en,Eskişehir Metropolitan Municipality,Adaptation goal 1,Protecting and increasing water supplies,More details,Climate hazards addressed,Description of metric/indicator used to track goal,- Indicator: Number of dry farming/landscaping applications\nUnit: number/year\n- Indicator: Areas for dry landscaping including refuges and intersections\nUnit: m2/year \n- Indicator: Number of municipal buildings with greywater systems\nUnit: number or %\n- Indicator: Amount of water used for park irrigation\nUnit: m3/year\n- Indicator: Amount of stored water used for garden irrigation by the metropolitan municipality\nUnit: m3/year \n- Indicator: Permeable surface ratio\nUnit: %,Comments,"Protecting water resources is important in various aspects. First, it contributes to the preservation of biodiversity. Freshwater ecosystems provide ecosystem services and maintain environmental balance by providing habitat for many species. Secondly, effective management of water resources is vital for agriculture and food security. Decrease in water resources can negatively affect agricultural productivity and food production. Finally, management of water resources can increase communities' resilience to climate change impacts.",1,"Climate action plans and strategies addressing mitigation, adaptation and/or energy","Signatories were asked to report on their Climate action plans and strategies addressing mitigation, adaptation, and/or energy"
62868,en,Eskişehir Metropolitan Municipality,Adaptation goal 2,Promoting water efficiency practices and prevention of pollution,More details,Climate hazards addressed,Description of metric/indicator used to track goal,- Indicator: The ratio of treated wastewater to total water usage at the provincial level\nUnit: %\n- Indicator: Number of facilities constructed/improved\nUnit: number\n- Indicator: The reuse rate of treated wastewater at the provincial level\nUnit: % \n- Indicator: Municipal water loss and leakage rates\nUnit: % \n- Indicator: Presence of a monitoring system\nUnit: yes/no \n- Indicator: The ratio of irrigation areas using modern irrigation methods at the provincial level\nUnit: %\n- Indicator: Ratio of rehabilitated irrigation areas\nUnit: %,Comments,"Water conservation and efficient use are one of the basic elements for sustainable management of water resources. It is critical that a wide range of stakeholders, from individuals to industry, are conscious of their water use. Ecosystem-based approaches play an important role in protecting and restoring natural aquatic ecosystems.",2,"Climate action plans and strategies addressing mitigation, adaptation and/or energy","Signatories were asked to report on their Climate action plans and strategies addressing mitigation, adaptation, and/or energy"
60125,en,Klaipėda City Municipality,Adaptation goal 2,"Development and implementation of internal action plans for relevant municipal institutions (healthcare facilities, emergency services, hospitals, nursing homes, etc.) in case of heat waves.",More details,Climate hazards addressed,Description of metric/indicator used to track goal,1,Comments,-,2,"Climate action plans and strategies addressing mitigation, adaptation and/or energy","Signatories were asked to report on their Climate action plans and strategies addressing mitigation, adaptation, and/or energy"
62868,en,Eskişehir Metropolitan Municipality,Adaptation goal 3,Ensuring continuity in agricultural production and food security,More details,Climate hazards addressed,Description of metric/indicator used to track goal,"- Indicator: Drought early warning system in pilot districts\nUnit: yes/no\n- Indicator: Number of villages where the early warning system is used\nUnit: number/year \n- Indicator: Number of improved/newly constructed drainage applications\nUnit: number/year \n- Indicator: Number of supported investments\nUnit: number/year\n- Indicator: Number of protected races and plant species\nUnit: number\n- Indicator: Number of relevant projects\nUnit: number/year \n- Indicator: Number and amount of support mechanisms provided\nUnit: number, €\n- Indicator: Number of female farmers/workers/cooperatives supported in pilot districts/villages\nUnit: number \n- Indicator: Pilot application for farmer information flow\nUnit: yes/no\n- Indicator: Number of farmer trainings\nUnit: number/year\n- Indicator: Number of trainings for technical staff\nUnit: number/year\n- Indicator: Number of trainings for children and youth\nUnit: number/year",Comments,Sustainable irrigation systems can support more resilient agriculture by ensuring efficient use of water resources in drought conditions. Soil management and conservation measures can prevent soil erosion and protect agricultural lands. Education and awareness campaigns can increase farmers' awareness of climate change.,3,"Climate action plans and strategies addressing mitigation, adaptation and/or energy","Signatories were asked to report on their Climate action plans and strategies addressing mitigation, adaptation, and/or energy"
62868,en,Eskişehir Metropolitan Municipality,Adaptation goal 4,Protection of forest areas and biodiversity,More details,Climate hazards addressed,Description of metric/indicator used to track goal,- Indicator: Number of inspections\nUnit: number /year\n- Indicator: Methodology for monitoring and combating invasive alien species\nUnit: yes/no\n- Indicator: Number of research studies\nUnit: number \n- Indicator: Length of forest safety lines\nUnit: km \n- Indicator: Number of awareness-raising campaigns\nUnit: number/year,Comments,"Rising temperatures and changing precipitation patterns can impact local ecosystems, altering the distribution of native plant species and their habitats. The increasing risk of drought in aquatic ecosystems, in particular, can have negative effects on biodiversity. Additionally, climate change can exacerbate the spread of harmful organisms, leading to adverse impacts on vegetation.",4,"Climate action plans and strategies addressing mitigation, adaptation and/or energy","Signatories were asked to report on their Climate action plans and strategies addressing mitigation, adaptation, and/or energy"
