Id,Language,Signatory,Climate_Action_Plan_Id,Sector
54408,en,Aarhus Municipality,3,"Sewerage, wastewater management and remediation activities"
54408,en,Aarhus Municipality,3,Agriculture
54408,en,Aarhus Municipality,3,Water supply
54408,en,Aarhus Municipality,3,Forestry
44076,en,Bursa Metropolitan Municipality,2,"Sewerage, wastewater management and remediation activities"
44076,en,Bursa Metropolitan Municipality,2,Administrative and support service activities
44076,en,Bursa Metropolitan Municipality,2,Waste management
44076,en,Bursa Metropolitan Municipality,2,Agriculture
44076,en,Bursa Metropolitan Municipality,2,Human health and social work activities
44076,en,Bursa Metropolitan Municipality,2,Transportation and storage
44076,en,Bursa Metropolitan Municipality,2,Forestry
54419,en,City and Metropolitan Municipality of Strasbourg,2,Financial and insurance activities
54419,en,City and Metropolitan Municipality of Strasbourg,2,Administrative and support service activities
54419,en,City and Metropolitan Municipality of Strasbourg,2,Education
54419,en,City and Metropolitan Municipality of Strasbourg,2,Agriculture
54419,en,City and Metropolitan Municipality of Strasbourg,2,Transportation and storage
54419,en,City and Metropolitan Municipality of Strasbourg,2,Real estate activities
54419,en,City and Metropolitan Municipality of Strasbourg,2,Water supply
54419,en,City and Metropolitan Municipality of Strasbourg,2,Forestry
54419,en,City and Metropolitan Municipality of Strasbourg,2,Accommodation and food service activities
54419,en,City and Metropolitan Municipality of Strasbourg,2,Manufacturing
54419,en,City and Metropolitan Municipality of Strasbourg,2,"Public administration and defence, compulsory social security"
54419,en,City and Metropolitan Municipality of Strasbourg,2,"Sewerage, wastewater management and remediation activities"
54419,en,City and Metropolitan Municipality of Strasbourg,2,Construction
54419,en,City and Metropolitan Municipality of Strasbourg,2,Waste management
54419,en,City and Metropolitan Municipality of Strasbourg,2,Human health and social work activities
54419,en,City and Metropolitan Municipality of Strasbourg,2,"Professional, scientific and technical activities"
54419,en,City and Metropolitan Municipality of Strasbourg,2,"Electricity, gas, steam and air conditioning supply"
834069,en,City of Graz,2,"Sewerage, wastewater management and remediation activities"
834069,en,City of Graz,2,Construction
834069,en,City of Graz,2,Information and communication
834069,en,City of Graz,2,Administrative and support service activities
834069,en,City of Graz,2,Agriculture
834069,en,City of Graz,2,Human health and social work activities
834069,en,City of Graz,2,Real estate activities
834069,en,City of Graz,2,Transportation and storage
834069,en,City of Graz,2,Water supply
834069,en,City of Graz,2,Forestry
834069,en,City of Graz,2,"Electricity, gas, steam and air conditioning supply"
36159,en,City of Lisbon,1,"Sewerage, wastewater management and remediation activities"
36159,en,City of Lisbon,1,Waste management
36159,en,City of Lisbon,1,Agriculture
36159,en,City of Lisbon,1,Water supply
36159,en,City of Lisbon,1,"Electricity, gas, steam and air conditioning supply"
36159,en,City of Lisbon,1,Forestry
36159,en,City of Lisbon,1,Manufacturing
36159,en,City of Lisbon,4,"Sewerage, wastewater management and remediation activities"
36159,en,City of Lisbon,4,Construction
36159,en,City of Lisbon,4,Information and communication
36159,en,City of Lisbon,4,Administrative and support service activities
36159,en,City of Lisbon,4,Education
36159,en,City of Lisbon,4,Waste management
36159,en,City of Lisbon,4,Transportation and storage
36159,en,City of Lisbon,4,Water supply
36159,en,City of Lisbon,4,"Electricity, gas, steam and air conditioning supply"
36159,en,City of Lisbon,4,Accommodation and food service activities
36159,en,City of Lisbon,5,Financial and insurance activities
36159,en,City of Lisbon,5,Administrative and support service activities
36159,en,City of Lisbon,5,Education
36159,en,City of Lisbon,5,Agriculture
36159,en,City of Lisbon,5,Transportation and storage
36159,en,City of Lisbon,5,"Arts, entertainment and recreation"
36159,en,City of Lisbon,5,Water supply
36159,en,City of Lisbon,5,Forestry
36159,en,City of Lisbon,5,Accommodation and food service activities
36159,en,City of Lisbon,5,"Public administration and defence, compulsory social security"
36159,en,City of Lisbon,5,"Sewerage, wastewater management and remediation activities"
36159,en,City of Lisbon,5,Construction
36159,en,City of Lisbon,5,Information and communication
36159,en,City of Lisbon,5,Waste management
36159,en,City of Lisbon,5,Human health and social work activities
36159,en,City of Lisbon,5,"Professional, scientific and technical activities"
36159,en,City of Lisbon,5,"Electricity, gas, steam and air conditioning supply"
