Id,Language,Signatory,Climate_Action_Plan_Id,Type,Description,Approval_Year,End_Year,Name_Of_Plan_And_Hyperlink,Attachment,Order,Sectors_Introduction,Year_Of_Approval_Label,End_Year_Of_Plan_Label,Further_Information_Link_Text,Explore_Plan_Link_Text
54408,en,Aarhus Municipality,3,Standalone adaptation plan,We take into account that a global temperature rise will lead to heavy rain and sea-level rise.,2020,2025,Climate Adaptation Plan (Danish): https://aarhus.dk/media/hbcpsrit/klimatilpasningsstrategi-aarhus-med-mere-blaat-2020.pdf,climate-neutral-aarhus-2030.pdf,3,The Aarhus Municipality possesses an Standalone adaptation plan that addresses the following sectors:,Year of formal approval of plan:,End year of plan:,Further information on Aarhus Municipality's Standalone adaptation plan,Explore Aarhus Municipality's Climate Action Plan
72924,en,Autonomous Community of Navarre,1,Integrated climate plan (addressing mitigation and adaptation),Los escenarios regionalizados no se han relacionado con el plan,2018,NULL,https://klina.navarra.es/. El Plan se denomina Hoja de Ruta de Cambio Climático-KLINA,191001_PlanRexionalIntegrado_MEc_CASTELL.pdf,1,The Autonomous Community of Navarre possesses an Integrated climate plan (addressing mitigation and adaptation) that addresses the following sectors:,Year of formal approval of plan:,End year of plan:,Further information on Autonomous Community of Navarre's Integrated climate plan (addressing mitigation and adaptation),Explore Autonomous Community of Navarre's Climate Action Plan
72923,en,Autonomous Community of Andalusia,1,"Integrated climate plan (addressing mitigation, adaptation and energy-related issues)","Se han considerado escenarios climático basados en series instrumentales de datos climáticos integradas en el Subsistema de Información de Climatología Ambiental de Andalucía de la Red de Información Ambiental de Andalucía (REDIAM). La REDIAM produjo una serie de escenarios climáticos regionalizados para Andalucía a partir del informe (AR5) del International Panel for Climate Change (IPCC) utilizados en la elaboración del Plan Andaluz de Acción por el Clima (referencia: https://lajunta.es/4aay1). Se generaron simulaciones futuras en tres periodos (2011-2040, 2041-2070 y 2071-2099), para 9 Modelos de Circulación General (MCGs), en 4 escenarios de emisiones (RCP26, RCP45, RCP60 y RCP85) y el escenario de referencia con el clima representativo del período 1961-2000. Referencia general de escenarios: Escenarios locales de cambio climático Enlace: https://lajunta.es/4aaxy La información sobre los diferentes escenarios locales de cambio climático que la Red de Información Ambiental de Andalucía ha ido elaborando se ha ido actualizando a partir de los informes periódicos globales publicados por el IPCC.",2021,NULL,Plan Andaluz de Acción por el Clima (enlace: https://lajunta.es/4aawj),Climate adaptation Aarhus 2020.pdf,1,"The Autonomous Community of Andalusia possesses an Integrated climate plan (addressing mitigation, adaptation and energy-related issues) that addresses the following sectors:",Year of formal approval of plan:,End year of plan:,"Further information on Autonomous Community of Andalusia's Integrated climate plan (addressing mitigation, adaptation and energy-related issues)",Explore Autonomous Community of Andalusia's Climate Action Plan
72927,en,Autonomous Community of Catalonia,1,Integrated climate plan (addressing mitigation and energy),Para la definición de las previsiones energéticas y climáticas del PINECCAT30 se han tomado como referencia las previsiones de oferta y demanda energética realizadas en el marco de la Prospectiva Energética de Cataluña 2050 (PROENCAT 2050).,NULL,NULL,Avance del Plan Integrado de Energía y Clima de Cataluña 2030,NULL,1,The Autonomous Community of Catalonia possesses an Integrated climate plan (addressing mitigation and energy) that addresses the following sectors:,Year of formal approval of plan:,End year of plan:,Further information on Autonomous Community of Catalonia's Integrated climate plan (addressing mitigation and energy),Explore Autonomous Community of Catalonia's Climate Action Plan
72927,en,Autonomous Community of Catalonia,2,Standalone adaptation plan,La estrategia de adaptación cuenta con un núcleo fundamental de información basado en las proyecciones climáticas regionalizadas del Servicio Meteorológico de Cataluña. Las últimas proyecciones climáticas tienen una regionalización estadística a muy alta resolución espacial (1 km) a partir de tres simulaciones climáticas globales forzadas del 5º Informe de Evaluación del IPCC (2013) con dos escenarios de emisiones: RCP4.5 (escenario de emisiones moderadas) y RCP8.5 (escenario de emisiones intensivas). El ámbito temporal de las proyecciones climáticas que aquí se comentan es 1971-2050. (https://canviclimatic.gencat.cat/es/canvi/projeccions/),2023,NULL,Estrategia Catalana de Adaptación al Cambio Climático 2021-2030 (ESCACC30)\n\nhttps://canviclimatic.gencat.cat/en/ambits/adaptacio/estrategia-catalana-dadaptacio-al-canvi-climatic-2021-2030/index.html\n,Proposta_Avanç del PINECCAT30.pdf,2,The Autonomous Community of Catalonia possesses an Standalone adaptation plan that addresses the following sectors:,Year of formal approval of plan:,End year of plan:,Further information on Autonomous Community of Catalonia's Standalone adaptation plan,Explore Autonomous Community of Catalonia's Climate Action Plan
72920,en,Autonomous Community of Galicia,1,"Integrated climate plan (addressing mitigation, adaptation and energy-related issues)","Para analizar el efecto del cambio climático en Galicia se consideraron, además de las tendencias pasadas, el comportamiento futuro de las variables climáticas tomando como referencia las Rutas de Concentración Representativa o RCP (por su acrónimo en inglés \'Representative Concentration Pathways\') definidas en el Quinto Informe de Evaluación del IPCC. En este informe se emplean 4 escenarios de emisión o RCP que se caracterizan por su Forzamiento Radiativo (FR) Total, 43 para el año 2100, que oscila entre 2.6 W/m2 y 8.5 W/m2. Para el estudio de proyecciones de cambio climático en Galicia, se emplearon los resultados derivados de un análisis propio desarrollado por MeteoGalicia con modelos regionales (regional Climate Models, RCMs) ejecutados en el marco de la iniciativa europea EURO-CORDEX (Jacob et al. 2013). En el desarrollo del análisis de MeteoGalicia, se seleccionó el dato diario de un grupo de once modelos regionales anidados a los 5 modelos globales más fiables para el sector del Atlántico Norte (Brands et al. 2013, Perez et al. 2014), dos escenarios distintos de concentración de gases de efecto invernadero (RCP 4.5 y RCP 8.5) y dos períodos climáticos de 30 años, uno a mediados y otro a finales de siglo (2031-2060 y 2061-2090). Los resultados de este informe se centran en el período 2061-2090 y el RCP 8.5, es decir, en las proyecciones “worst case”. Cada variable base (temperatura máxima, mínima y precipitación diaria) e índice de impacto se calculó en cada grid-box de la malla de 0.11 grados de los RCMs de EURO-CORDEX y se interpoló a las coordenadas de los ayuntamientos usando los 4 grid-boxes más próximos y ponderando con la inversa de la distancia en km. Para algunos índices (p.e. número de heladas y días de verano) era necesario corregir el sesgo sistemático (bias) de los RCMs frente a observaciones. Para eso, se empleó un simple método aditivo/multiplicativo para índices basados en temperatura/ precipitación respectivamente y se usó la base observacional “Spain011” de referencia (Herrera et ao. 2016). Para cada ayuntamiento, la mediana de los 11 valores obtenidos de los 11 modelos (para una variable dada) representa la proyección más probable. Respecto de la regionalización, los resultados proceden de una regionalización dinámica, es decir, de una serie de modelos numéricos regionales aplicados a las salidas de los modelos numéricos globales, ejecutados para el Quinto Informe de Evaluación del IPCC (Assessment Report 5, AIRE5).",2019,NULL,Plan Rexional Integrado de Enerxía e Clima 2019 - 2023 \nhttps://cambioclimatico.xunta.gal/estratexia-cambio-climatico\nPendiente de aprobación del próximo Plan Rexional Integrado de Enerxía e Clima 2024 - 2030,Resum-Executiu-ESCACC30_Govern_CA_EN.pdf,1,"The Autonomous Community of Galicia possesses an Integrated climate plan (addressing mitigation, adaptation and energy-related issues) that addresses the following sectors:",Year of formal approval of plan:,End year of plan:,"Further information on Autonomous Community of Galicia's Integrated climate plan (addressing mitigation, adaptation and energy-related issues)",Explore Autonomous Community of Galicia's Climate Action Plan
72926,en,Autonomous Community of the Basque Country,1,"Integrated climate plan (addressing mitigation, adaptation and energy-related issues)","Se consideraron en el caso de mitigación escenarios socioeconómicos teniendo en cuenta el inventario de emisiones actual, la población y los escenarios económicos para el escenario BAU. Así mismo, se utilizaron escenarios de cambio climático, como por ejemplo el proyecto Kostaegoki en torno a la afección en zonas costeras, o las proyecciones de Escenarios climáticos y series de datos en Euskadi, para identificar acciones de adaptación en todo el territorio.",2015,NULL,"Estrategia de Cambio Climático Klima2050, https://bideoak2.euskadi.eus/debates/debate_1310/Estrategia_cambio_climatico_clima_2050_es.pdf",190122_KLINA_cast_GN 180124-Protegido.pdf,1,"The Autonomous Community of the Basque Country possesses an Integrated climate plan (addressing mitigation, adaptation and energy-related issues) that addresses the following sectors:",Year of formal approval of plan:,End year of plan:,"Further information on Autonomous Community of the Basque Country's Integrated climate plan (addressing mitigation, adaptation and energy-related issues)",Explore Autonomous Community of the Basque Country's Climate Action Plan
72926,en,Autonomous Community of the Basque Country,2,"Integrated climate plan (addressing mitigation, adaptation and energy-related issues)","Se hizo uso de escenarios climáticos (Escenarios climáticos y series de datos en Euskadi) para establecer acciones de adaptación a lo largo de todo el territorio del País Vasco. También se utilizaron escenarios de cambio climático (Kostaegoki) en torno a la afección en zonas costeras para identificar acciones de adaptación. Así mismo al establecer objetivos energéticos y de descarbonización alineados con objetivos europeos, se utilizan de manera indirecta escenarios de emisiones.",2021,NULL,"Plan de transición Energética y Cambio Climático 2021-2024, https://www.euskadi.eus/contenidos/plan_gubernamental/07_planest_xiileg/es_def/adjuntos/Transicion-Energetica-y-Cambio-Climatico-WEB.pdf",KLIMA2050_es.pdf,2,"The Autonomous Community of the Basque Country possesses an Integrated climate plan (addressing mitigation, adaptation and energy-related issues) that addresses the following sectors:",Year of formal approval of plan:,End year of plan:,"Further information on Autonomous Community of the Basque Country's Integrated climate plan (addressing mitigation, adaptation and energy-related issues)",Explore Autonomous Community of the Basque Country's Climate Action Plan
72926,en,Autonomous Community of the Basque Country,3,"Integrated climate plan (addressing mitigation, adaptation and energy-related issues)","La ley 1/2024 de Transición Energética y Cambio Climático está basada en los escenarios utilizados por planes y estrategias vigentes, por lo que de manera indirecta utiliza, así como los planes y estrategias, los mismos escenarios de emisiones para mitigación y proyecciones de cambio climático para adaptación.",2024,NULL,"Ley 1/2024, de 8 de febrero, de Transición Energética y Cambio Climático, https://www.legegunea.euskadi.eus/eli/es-pv/l/2024/02/08/1/dof/spa/html/webleg00-contfich/es/",Transicion-Energetica-y-Cambio-Climatico.pdf,3,"The Autonomous Community of the Basque Country possesses an Integrated climate plan (addressing mitigation, adaptation and energy-related issues) that addresses the following sectors:",Year of formal approval of plan:,End year of plan:,"Further information on Autonomous Community of the Basque Country's Integrated climate plan (addressing mitigation, adaptation and energy-related issues)",Explore Autonomous Community of the Basque Country's Climate Action Plan
73095,en,Auvergne-Rhône-Alpes Region,1,Integrated climate plan (addressing mitigation and energy),the SRADDET is a regional version of the national climate goals.,2019,NULL,https://www.auvergnerhonealpes.fr/media/2202/download?inline,"Ley 1.2024, de 8 de febrero, de TransiciÃ³n EnergÃ©tica y Cambio ClimÃ¡tico.pdf",1,The Auvergne-Rhône-Alpes Region possesses an Integrated climate plan (addressing mitigation and energy) that addresses the following sectors:,Year of formal approval of plan:,End year of plan:,Further information on Auvergne-Rhône-Alpes Region's Integrated climate plan (addressing mitigation and energy),Explore Auvergne-Rhône-Alpes Region's Climate Action Plan
