Id,Signatory,Language,Order,Action_Id,Action,More_Details_Label,Hazards_Addressed_Label,Sectors_Label,Funding_Sources_Label,Funding_Sources,Co_Benefits_Label
54419,City and Metropolitan Municipality of Strasbourg,en,4,4,Development of targeted plan/program to address hazard(s) selected,More details,Climate hazards addressed:,Sectors adaptation action applies to:,Funding source(s):,"National funds and programmes,Jurisdiction's own resources",Co-benefits realized:
54419,City and Metropolitan Municipality of Strasbourg,en,5,5,Green infrastructure,More details,Climate hazards addressed:,Sectors adaptation action applies to:,Funding source(s):,"Regional funds and programmes,Jurisdiction's own resources",Co-benefits realized:
54419,City and Metropolitan Municipality of Strasbourg,en,6,6,Disease prevention measures,More details,Climate hazards addressed:,Sectors adaptation action applies to:,Funding source(s):,NULL,Co-benefits realized:
36469,City of L'Aquila,en,5,5,Ecological restoration (including wetland and floodplain conservation and restoration),More details,Climate hazards addressed:,Sectors adaptation action applies to:,Funding source(s):,Regional funds and programmes,Co-benefits realized:
54419,City and Metropolitan Municipality of Strasbourg,en,7,7,Hazard resistant infrastructure design and construction,More details,Climate hazards addressed:,Sectors adaptation action applies to:,Funding source(s):,"Regional funds and programmes,Jurisdiction's own resources",Co-benefits realized:
36247,City of Arezzo,en,1,1,Municipal services to reduce food waste (including composting),More details,Climate hazards addressed:,Sectors adaptation action applies to:,Funding source(s):,Jurisdiction's own resources,Co-benefits realized:
36247,City of Arezzo,en,3,3,"Flood defence, such as flood levees and culverts",More details,Climate hazards addressed:,Sectors adaptation action applies to:,Funding source(s):,"Regional funds and programmes,National funds and programmes,Jurisdiction's own resources",Co-benefits realized:
36469,City of L'Aquila,en,3,3,"Other, please specify",More details,Climate hazards addressed:,Sectors adaptation action applies to:,Funding source(s):,National funds and programmes,Co-benefits realized:
36469,City of L'Aquila,en,4,4,Afforestation and reforestation,More details,Climate hazards addressed:,Sectors adaptation action applies to:,Funding source(s):,"National funds and programmes,Jurisdiction's own resources",Co-benefits realized:
36247,City of Arezzo,en,4,4,Systematic monitoring and remote sensing,More details,Climate hazards addressed:,Sectors adaptation action applies to:,Funding source(s):,Jurisdiction's own resources,Co-benefits realized:
834069,City of Graz,en,2,2,"Other, please specify",More details,Climate hazards addressed:,Sectors adaptation action applies to:,Funding source(s):,Jurisdiction's own resources,Co-benefits realized:
73193,State of Styria,en,1,1,Afforestation and reforestation,More details,Climate hazards addressed:,Sectors adaptation action applies to:,Funding source(s):,NULL,Co-benefits realized:
834069,City of Graz,en,3,3,Shading in public spaces,More details,Climate hazards addressed:,Sectors adaptation action applies to:,Funding source(s):,"Regional funds and programmes,National funds and programmes,Jurisdiction's own resources",Co-benefits realized:
834069,City of Graz,en,4,4,Green infrastructure,More details,Climate hazards addressed:,Sectors adaptation action applies to:,Funding source(s):,"Other, please specify source(s)",Co-benefits realized:
36469,City of L'Aquila,en,2,2,Development of targeted plan/program to address hazard(s) selected,More details,Climate hazards addressed:,Sectors adaptation action applies to:,Funding source(s):,Jurisdiction's own resources,Co-benefits realized:
36159,City of Lisbon,en,1,1,Shading in public spaces,More details,Climate hazards addressed:,Sectors adaptation action applies to:,Funding source(s):,"Regional funds and programmes,International (including ODA),National funds and programmes,Jurisdiction's own resources",Co-benefits realized:
36159,City of Lisbon,en,2,2,Ecological corridors,More details,Climate hazards addressed:,Sectors adaptation action applies to:,Funding source(s):,Jurisdiction's own resources,Co-benefits realized:
36159,City of Lisbon,en,3,3,Municipal services (including water and sanitation),More details,Climate hazards addressed:,Sectors adaptation action applies to:,Funding source(s):,"Public-private partnerships,Jurisdiction's own resources",Co-benefits realized:
36159,City of Lisbon,en,4,4,Genetic techniques,More details,Climate hazards addressed:,Sectors adaptation action applies to:,Funding source(s):,Jurisdiction's own resources,Co-benefits realized:
36159,City of Lisbon,en,5,5,Community engagement/awareness campaigns on the climate and health benefits of sustainable healthy diets,More details,Climate hazards addressed:,Sectors adaptation action applies to:,Funding source(s):,Jurisdiction's own resources,Co-benefits realized:
36159,City of Lisbon,en,6,6,"Other, please specify",More details,Climate hazards addressed:,Sectors adaptation action applies to:,Funding source(s):,"Regional funds and programmes,International (including ODA),National funds and programmes,Public-private partnerships,Jurisdiction's own resources,Private partnerships (e.g., a combination of private investments)",Co-benefits realized:
36159,City of Lisbon,en,7,7,Ecosystem-based management,More details,Climate hazards addressed:,Sectors adaptation action applies to:,Funding source(s):,Jurisdiction's own resources,Co-benefits realized:
36159,City of Lisbon,en,8,8,Improved drainage,More details,Climate hazards addressed:,Sectors adaptation action applies to:,Funding source(s):,"International (including ODA),Jurisdiction's own resources",Co-benefits realized:
36159,City of Lisbon,en,9,9,Development of targeted plan/program to address hazard(s) selected,More details,Climate hazards addressed:,Sectors adaptation action applies to:,Funding source(s):,International (including ODA),Co-benefits realized:
73193,State of Styria,en,6,6,Water saving technologies (including rainwater harvesting),More details,Climate hazards addressed:,Sectors adaptation action applies to:,Funding source(s):,NULL,Co-benefits realized:
73193,State of Styria,en,7,7,Building Insulation,More details,Climate hazards addressed:,Sectors adaptation action applies to:,Funding source(s):,NULL,Co-benefits realized:
36159,City of Lisbon,en,10,10,Disaster planning and preparedness,More details,Climate hazards addressed:,Sectors adaptation action applies to:,Funding source(s):,Jurisdiction's own resources,Co-benefits realized:
73054,Venetia Region,en,7,7,NULL,More details,Climate hazards addressed:,Sectors adaptation action applies to:,Funding source(s):,NULL,Co-benefits realized:
73054,Venetia Region,en,8,8,NULL,More details,Climate hazards addressed:,Sectors adaptation action applies to:,Funding source(s):,NULL,Co-benefits realized:
73054,Venetia Region,en,9,9,NULL,More details,Climate hazards addressed:,Sectors adaptation action applies to:,Funding source(s):,NULL,Co-benefits realized:
36159,City of Lisbon,en,11,11,Green infrastructure,More details,Climate hazards addressed:,Sectors adaptation action applies to:,Funding source(s):,"International (including ODA),Jurisdiction's own resources",Co-benefits realized:
73054,Venetia Region,en,17,17,NULL,More details,Climate hazards addressed:,Sectors adaptation action applies to:,Funding source(s):,NULL,Co-benefits realized:
73054,Venetia Region,en,18,18,NULL,More details,Climate hazards addressed:,Sectors adaptation action applies to:,Funding source(s):,NULL,Co-benefits realized:
36159,City of Lisbon,en,12,12,Systematic monitoring and remote sensing,More details,Climate hazards addressed:,Sectors adaptation action applies to:,Funding source(s):,"International (including ODA),Jurisdiction's own resources",Co-benefits realized:
36159,City of Lisbon,en,13,13,Development of targeted plan/program to address hazard(s) selected,More details,Climate hazards addressed:,Sectors adaptation action applies to:,Funding source(s):,Jurisdiction's own resources,Co-benefits realized:
36159,City of Lisbon,en,14,14,Green infrastructure,More details,Climate hazards addressed:,Sectors adaptation action applies to:,Funding source(s):,"International (including ODA),Jurisdiction's own resources",Co-benefits realized:
36159,City of Lisbon,en,15,15,Systematic monitoring and remote sensing,More details,Climate hazards addressed:,Sectors adaptation action applies to:,Funding source(s):,International (including ODA),Co-benefits realized:
43940,City of Malmö,en,1,1,Shading in public spaces,More details,Climate hazards addressed:,Sectors adaptation action applies to:,Funding source(s):,Jurisdiction's own resources,Co-benefits realized:
73054,Venetia Region,en,23,23,NULL,More details,Climate hazards addressed:,Sectors adaptation action applies to:,Funding source(s):,NULL,Co-benefits realized:
73054,Venetia Region,en,24,24,NULL,More details,Climate hazards addressed:,Sectors adaptation action applies to:,Funding source(s):,NULL,Co-benefits realized:
73054,Venetia Region,en,25,25,NULL,More details,Climate hazards addressed:,Sectors adaptation action applies to:,Funding source(s):,NULL,Co-benefits realized:
43940,City of Malmö,en,3,3,"Flood defence, such as flood levees and culverts",More details,Climate hazards addressed:,Sectors adaptation action applies to:,Funding source(s):,Jurisdiction's own resources,Co-benefits realized:
73054,Venetia Region,en,30,30,NULL,More details,Climate hazards addressed:,Sectors adaptation action applies to:,Funding source(s):,NULL,Co-benefits realized:
73054,Venetia Region,en,31,31,NULL,More details,Climate hazards addressed:,Sectors adaptation action applies to:,Funding source(s):,NULL,Co-benefits realized:
73054,Venetia Region,en,32,32,NULL,More details,Climate hazards addressed:,Sectors adaptation action applies to:,Funding source(s):,NULL,Co-benefits realized:
43940,City of Malmö,en,4,4,"Other, please specify",More details,Climate hazards addressed:,Sectors adaptation action applies to:,Funding source(s):,Jurisdiction's own resources,Co-benefits realized:
73054,Venetia Region,en,39,39,NULL,More details,Climate hazards addressed:,Sectors adaptation action applies to:,Funding source(s):,NULL,Co-benefits realized:
73054,Venetia Region,en,40,40,NULL,More details,Climate hazards addressed:,Sectors adaptation action applies to:,Funding source(s):,NULL,Co-benefits realized:
73054,Venetia Region,en,41,41,NULL,More details,Climate hazards addressed:,Sectors adaptation action applies to:,Funding source(s):,NULL,Co-benefits realized:
43940,City of Malmö,en,5,5,Biodiversity monitoring,More details,Climate hazards addressed:,Sectors adaptation action applies to:,Funding source(s):,Jurisdiction's own resources,Co-benefits realized:
43940,City of Malmö,en,6,6,"Other, please specify",More details,Climate hazards addressed:,Sectors adaptation action applies to:,Funding source(s):,Jurisdiction's own resources,Co-benefits realized:
43940,City of Malmö,en,7,7,Development of targeted plan/program to address hazard(s) selected,More details,Climate hazards addressed:,Sectors adaptation action applies to:,Funding source(s):,Jurisdiction's own resources,Co-benefits realized:
43940,City of Malmö,en,9,9,Community engagement/education,More details,Climate hazards addressed:,Sectors adaptation action applies to:,Funding source(s):,Jurisdiction's own resources,Co-benefits realized:
43940,City of Malmö,en,10,10,"Other, please specify",More details,Climate hazards addressed:,Sectors adaptation action applies to:,Funding source(s):,Jurisdiction's own resources,Co-benefits realized:
43940,City of Malmö,en,11,11,Disaster planning and preparedness,More details,Climate hazards addressed:,Sectors adaptation action applies to:,Funding source(s):,Jurisdiction's own resources,Co-benefits realized:
31175,City of Paris,en,1,1,Essential public health services,More details,Climate hazards addressed:,Sectors adaptation action applies to:,Funding source(s):,Jurisdiction's own resources,Co-benefits realized:
31175,City of Paris,en,3,3,"Other, please specify",More details,Climate hazards addressed:,Sectors adaptation action applies to:,Funding source(s):,Jurisdiction's own resources,Co-benefits realized:
31175,City of Paris,en,4,4,Hazard resistant infrastructure design and construction,More details,Climate hazards addressed:,Sectors adaptation action applies to:,Funding source(s):,Jurisdiction's own resources,Co-benefits realized:
73193,State of Styria,en,2,2,Ecological corridors,More details,Climate hazards addressed:,Sectors adaptation action applies to:,Funding source(s):,NULL,Co-benefits realized:
31175,City of Paris,en,5,5,Adaptive management,More details,Climate hazards addressed:,Sectors adaptation action applies to:,Funding source(s):,Jurisdiction's own resources,Co-benefits realized:
31175,City of Paris,en,9,9,Ecological restoration (including wetland and floodplain conservation and restoration),More details,Climate hazards addressed:,Sectors adaptation action applies to:,Funding source(s):,Jurisdiction's own resources,Co-benefits realized:
31175,City of Paris,en,6,6,"Cooling centres, pools, water parks/plazas",More details,Climate hazards addressed:,Sectors adaptation action applies to:,Funding source(s):,Jurisdiction's own resources,Co-benefits realized:
73054,Venetia Region,en,44,44,NULL,More details,Climate hazards addressed:,Sectors adaptation action applies to:,Funding source(s):,NULL,Co-benefits realized:
73054,Venetia Region,en,45,45,NULL,More details,Climate hazards addressed:,Sectors adaptation action applies to:,Funding source(s):,NULL,Co-benefits realized:
31175,City of Paris,en,7,7,"Other, please specify",More details,Climate hazards addressed:,Sectors adaptation action applies to:,Funding source(s):,Jurisdiction's own resources,Co-benefits realized:
73193,State of Styria,en,8,8,Community engagement/education,More details,Climate hazards addressed:,Sectors adaptation action applies to:,Funding source(s):,NULL,Co-benefits realized:
31175,City of Paris,en,8,8,Shading in public spaces,More details,Climate hazards addressed:,Sectors adaptation action applies to:,Funding source(s):,Jurisdiction's own resources,Co-benefits realized:
31175,City of Paris,en,10,10,"Other, please specify",More details,Climate hazards addressed:,Sectors adaptation action applies to:,Funding source(s):,Jurisdiction's own resources,Co-benefits realized:
31175,City of Paris,en,11,11,"Flood defence, such as flood levees and culverts",More details,Climate hazards addressed:,Sectors adaptation action applies to:,Funding source(s):,Jurisdiction's own resources,Co-benefits realized:
31175,City of Paris,en,12,12,"Cooling centres, pools, water parks/plazas",More details,Climate hazards addressed:,Sectors adaptation action applies to:,Funding source(s):,Jurisdiction's own resources,Co-benefits realized:
