Id,Signatory,Order,Action_Id,Sector,Language
54419,City and Metropolitan Municipality of Strasbourg,4,4,"Sewerage, wastewater management and remediation activities",en
54419,City and Metropolitan Municipality of Strasbourg,4,4,Agriculture,en
54419,City and Metropolitan Municipality of Strasbourg,4,4,Transportation and storage,en
54419,City and Metropolitan Municipality of Strasbourg,4,4,"Public administration and defence, compulsory social security",en
54419,City and Metropolitan Municipality of Strasbourg,5,5,Human health and social work activities,en
36469,City of L'Aquila,5,5,Waste management,en
36469,City of L'Aquila,5,5,Water supply,en
36469,City of L'Aquila,5,5,Conservation,en
54419,City and Metropolitan Municipality of Strasbourg,7,7,Education,en
36247,City of Arezzo,1,1,Waste management,en
36247,City of Arezzo,3,3,"Sewerage, wastewater management and remediation activities",en
36247,City of Arezzo,3,3,Agriculture,en
36247,City of Arezzo,3,3,"Public administration and defence, compulsory social security",en
36469,City of L'Aquila,3,3,Water supply,en
36469,City of L'Aquila,3,3,Forestry,en
36469,City of L'Aquila,3,3,Conservation,en
36469,City of L'Aquila,4,4,Construction,en
36469,City of L'Aquila,4,4,Forestry,en
36247,City of Arezzo,4,4,"Sewerage, wastewater management and remediation activities",en
36247,City of Arezzo,4,4,Information and communication,en
36247,City of Arezzo,4,4,Human health and social work activities,en
36247,City of Arezzo,4,4,"Public administration and defence, compulsory social security",en
834069,City of Graz,2,2,Construction,en
834069,City of Graz,2,2,Administrative and support service activities,en
834069,City of Graz,2,2,Agriculture,en
834069,City of Graz,2,2,Human health and social work activities,en
834069,City of Graz,2,2,Real estate activities,en
834069,City of Graz,2,2,Water supply,en
834069,City of Graz,2,2,Forestry,en
834069,City of Graz,2,2,Accommodation and food service activities,en
834069,City of Graz,2,2,"Public administration and defence, compulsory social security",en
73193,State of Styria,1,1,Forestry,en
834069,City of Graz,3,3,"Sewerage, wastewater management and remediation activities",en
834069,City of Graz,3,3,Construction,en
834069,City of Graz,3,3,Administrative and support service activities,en
834069,City of Graz,3,3,Real estate activities,en
834069,City of Graz,3,3,Water supply,en
834069,City of Graz,3,3,"Public administration and defence, compulsory social security",en
834069,City of Graz,4,4,Real estate activities,en
834069,City of Graz,4,4,Accommodation and food service activities,en
36469,City of L'Aquila,2,2,Information and communication,en
36469,City of L'Aquila,2,2,Human health and social work activities,en
36469,City of L'Aquila,2,2,"Public administration and defence, compulsory social security",en
36159,City of Lisbon,1,1,"Other, please specify",en
36159,City of Lisbon,1,1,Human health and social work activities,en
36159,City of Lisbon,2,2,"Other, please specify",en
36159,City of Lisbon,3,3,"Other, please specify",en
36159,City of Lisbon,3,3,Water supply,en
36159,City of Lisbon,4,4,"Sewerage, wastewater management and remediation activities",en
36159,City of Lisbon,4,4,Water supply,en
36159,City of Lisbon,5,5,Human health and social work activities,en
36159,City of Lisbon,6,6,Water supply,en
36159,City of Lisbon,6,6,Forestry,en
36159,City of Lisbon,7,7,"Sewerage, wastewater management and remediation activities",en
