Id,Signatory,Language,Order,Factor
19233,Municipality of Torres Vedras,en,1,A process has been established for prioritizing identified hazards
19233,Municipality of Torres Vedras,en,1,A process has been established to update the assessment at least every five years
19233,Municipality of Torres Vedras,en,1,Assessment considers nature
19233,Municipality of Torres Vedras,en,1,Assessment considers transition risks
19233,Municipality of Torres Vedras,en,1,Assessment considers vulnerable populations
19233,Municipality of Torres Vedras,en,1,"Assessment includes a high-emissions scenario (i.e., RCP 8.5)"
19233,Municipality of Torres Vedras,en,1,Assessment includes consultation with partners
19233,Municipality of Torres Vedras,en,1,Assessment includes sectors and/or urban systems
19233,Municipality of Torres Vedras,en,1,Identified hazards have been incorporated into the jurisdiction's overall risk management framework
19233,Municipality of Torres Vedras,en,2,A process has been established for prioritizing identified hazards
19233,Municipality of Torres Vedras,en,2,A process has been established to update the assessment at least every five years
19233,Municipality of Torres Vedras,en,2,Assessment considers nature
19233,Municipality of Torres Vedras,en,2,Assessment considers transition risks
19233,Municipality of Torres Vedras,en,2,Assessment considers vulnerable populations
19233,Municipality of Torres Vedras,en,2,Assessment considers water security
19233,Municipality of Torres Vedras,en,2,"Assessment includes a high-emissions scenario (i.e., RCP 8.5)"
19233,Municipality of Torres Vedras,en,2,Identified hazards have been incorporated into the jurisdiction's overall risk management framework
2025001,Province of Las Palmas de Gran Canaria,en,1,A process has been established for prioritizing identified hazards
2025001,Province of Las Palmas de Gran Canaria,en,1,A process has been established to update the assessment at least every five years
2025001,Province of Las Palmas de Gran Canaria,en,1,Assessment considers vulnerable populations
2025001,Province of Las Palmas de Gran Canaria,en,10,A process has been established for prioritizing identified hazards
2025001,Province of Las Palmas de Gran Canaria,en,10,A process has been established to update the assessment at least every five years
2025001,Province of Las Palmas de Gran Canaria,en,10,Assessment considers vulnerable populations
2025001,Province of Las Palmas de Gran Canaria,en,11,A process has been established for prioritizing identified hazards
2025001,Province of Las Palmas de Gran Canaria,en,11,A process has been established to update the assessment at least every five years
2025001,Province of Las Palmas de Gran Canaria,en,11,Assessment considers vulnerable populations
2025001,Province of Las Palmas de Gran Canaria,en,12,A process has been established for prioritizing identified hazards
