Signatory,Id,Describe,Provide
Portugal,19233,NULL,"Publicação do Regulamento para a comparticipação em obras de conservação, reparação ou beneficiação de habitações degradadas:https://www.cm-tvedras.pt/documentos/regulamentos/?r=regulamento-para-a-comparticipacao-em-obras-de-conservacao-reparacao-ou-beneficiac"
Denmark,31009,Please see below in the description of initiatives and plans,Please see below in the description of plans
Türkiye,31163,"In the context of climate change, studies are continuing to ensure climate justice and to reveal human-oriented adaptation strategies. The works carried out for vulnerable groups with our understanding of social municipality are listed below. • Free or discounted card application services are offered to our elderly, disabled, mother and student citizens in order to increase their integration into sustainable transportation.• The number of female personnel working within the scope of observing gender equality increased from 15% to 19.08% under the roof of Istanbul Metropolitan Municipality.• Considering the green employment approach, 26 regional employment offices were established and as of June 2023, we helped 120 thousand Istanbulites find a job.• Producing high quality and affordable bread, Istanbul Halk Ekmek serves especially our low-income citizens.• 75 kindergartens have been opened within the scope of the “Yuvam Istanbul” project for children, one of the vulnerable groups.","While preparing the Istanbul Climate Action Plan, opinions and suggestions were received from all Istanbul stakeholders. This is important for the inclusiveness and transparency of the climate action plan. At the same time, meetings with the officials of 39 district municipalities within the borders of Istanbul are actively carried out in the preparation of the action plan and in the current projects.In addition, \'Participatory Budget\' project has been provided to Istanbul citizens. Through Participatory Budget, our citizens have been asked about their opinions and suggests regarding climate change related issues. On the other hand, \'Climate Platform\' has been found consisting of academicians, Non-Governmental organizations, climate activists and Istanbul citizens. Routine meetings were held on the Climate Platform by providing a discussion environment on the existing barriers, solution suggestions and good practice examples regarding greenhouse gas emission reduction and climate change adaptation actions such as water stress, drought, green space management, biodiversity, integrated transportation systems and renewable energy technologies.As Istanbul, we have ambitious goals to become a carbon neutral and resilient city. In order to achieve these goals, we carry out the following activities:- 100 Carbon Neutral and Smart Cities MissionThe mission's purpose is to support 100 (100+12) European cities to achieve the goal of climate neutrality by 2030. All cities participating in this project are intended to become centres for innovation and experimentation and to serve as examples for all other cities. - Call for Pilot CitiesNetZeroCities has published a call for pilot Cities. Under this initiative, which is part of the Climate Neutral and Smart Cities Mission, 30 pilot cities will be selected among European cities which submit innovative projects on how to achieve carbon neutrality until the year 2030.According to Istanbul's greenhouse gas emission inventory, stationary energy contributes the highest percentage (64%). The project therefore supports action on energy used in buildings in the city. For this purpose, guidelines will be established for green and carbon neutral buildings which are to be renovated in the context of urban regeneration. The project uses sensors to monitor energy consumption in residential buildings in selected pilot regions. Within the scope of the project, the residential area where the sensors to monitor the energy efficiency will be installed has been determined. Methodologies have been developed for data collection. Based on the data a change in behaviour towards more efficient energy use will be promoted. - Adaptation MissionIstanbul has entitled to become one of 215 signators of the EU Adaptation Mission which was initiated to support cities in their efforts to become resilient to climate change by 2030. The purpose of the Adaptation Mission is to prepare cities/regions for the current as well as future effects of climate change and to mobilise them to ensure adaptation. By this mission it will be possible to generate common benefits for municipalities working for the same goal, to test innovative solutions and to offer financial resources for future joint activities."
France,31175,"Prior to the adoption of the 2018 Climate Action Plan, the city of Paris has conducted a study to assess the socio-economic impacts of the energy and climate transition. The study analyzed a range of individual, economic, social, and political impacts resulting from the key actions outlined in the Climate Plan. It also examined their effects on employment, well-being, equity, and overall balance across the city. The findings of the study revealed that many measures implemented under the Paris Climate Plan will contribute to enhancing the well-being of citizens by improving the quality of their immediate environment. This, in turn, is expected to have positive impacts on both physical and psychological health. These improvements are likely to foster support for the Climate Plan among citizens and increase their willingness to actively contribute to its success. Additionally, the City of Paris conducted in 2021 a resilience and vulnerability diagnosis in the context of climate disruption, using the latest scientific climate change models. Lastly, the City of Paris is working to Identify areas of environmental health fragility. The findings of this assessment provide support for the policies outlined in the Paris Climate Plan, particularly in terms of adaptation measures. These include greening the city, strengthening water management strategies, promoting solidarity towards vulnerable populations, and controlling water consumption.In Attached: ParisInTheFaceOfClimateChange [EN]The city regularly conducts city-wide studies on various equity-related topics such as: Update demographic, economic and social data for Paris, to understand gender gaps and trends.In Attached: Gender inequality in Paris [FR]Report on the implementation of actions in working-class neighbourhoods. In 2021, an analysis was carried out and confirmed the narrowing of certain social gaps between the population of those neighbourhoods and that of Paris over the recent period (social indicators, educational success, economic dynamism, living environment), while at the same time indicators of precariousness remain high and gaps in employment and professional integration persist. The workshops also highlighted a number of issues that are becoming increasingly important in working-class neighbourhoods, including environmental health.In Attached: The frame of reference for evaluating the 2015-2022 Paris City Contract [FR]Quantification of jobs linked to the circular economy in Paris.Circular economy helps combat climate change by reducing CO2 emissions from economic activities. It goes hand in hand with the development of new modes of production and consumption, generating new activities and creating sustainable jobs that cannot be relocated. That's why the job creation made possible by the development of the circular economy in Paris, and the resulting creation of value, have been defined as monitoring indicators for the Paris Circular Economy Plan. The quantification of jobs linked to the circular economy in Paris (document to be consulted as an attachment to the response) makes it possible to estimate the number of jobs in Paris at 66,500 FTE (full-time equivalent) in 2016. They represent 2.9% of Parisian jobs and generate an annual added value of 7 billion euros.In Attached: Circular Economy Quantifying jobs [FR]Since the adoption in 2016 of the Paris Environmental Health Plan, Health Impact Assessments (HIA) have been made. HIA is a science-based decision-making process that incorporates participatory approaches whenever possible. It helps contextualize research data and facilitates the implementation of projects by enhancing their legitimacy and social acceptability. HIA allows all stakeholders involved in a policy or project to address the social, economic, and environmental issues that may impact health and well-being. The main objective is to take into account health issues in the new urbanism projects, directly from the inhabitants, theirs needs and habits.","Ensure “Access to energy for all”: The Energy poverty program (2022-2026)In 2023, a Local Intervention Service for Energy Management and a €400,000 fund to help with minor repairs is now offered. The SLIME program aims to scale up the identification, guidance, and support for households facing energy precariousness. Within this framework, 1,200 home visits are scheduled by 2025 to carry out energy diagnostics and provide long-term support, as well as distributing emergency kits. Since September 2022, 152 reports have been recorded: 24% are eligible for SLIME, 46% concern social housing provided by the City, 12% involve other landlords, and 18% will not be directed towards a diagnostic assessment (income above the threshold, opting out, alternative renovation process, etc.).Supporting the most vulnerable with REFLEX: “Reflex” is a personalized assistance tool and support system for the most vulnerable Parisians during the hot summer months. Elderly, sick or isolated people can sign up to this file. If the Heatwave Plan is triggered, those registered are contacted by telephone to check on their state of health, and to consider providing assistance if necessary. Today, more than 10,000 people registered in this file and benefit from personalized assistance in the event of extreme heat. You can register yourself or, with their consent, people you know. In 2022, all Reflex registrants been called, and 158 home visits were organized.Reinforcing actions for people in precarious situations: The Paris Solidarity Guide Summer 2023 caters to the needs of vulnerable and homeless individuals during the summer. It provides a comprehensive list of available assistance. Street outreach activities are intensified, including the distribution of water bottles from Eau de Paris, refillable at any of the 1,200 drinking fountains in the city. Additionally, the inaugural summer edition of the Night of Solidarity took place on june 27. A total of 817 individuals were identified as homeless, compared to 707 in the same three districts in January, representing a 15.5% increase. However, this significant rise should be approached with caution due to the absence of comparative data from previous summers. Additionally, the results obtained in the 8th, 12th, and 20th districts cannot be extrapolated to the entire territory of Paris. After analyzing all questionnaires in September, a more precise overview of the current situation and encountered profiles will be provided. Among the initial findings, a decrease in the number of homeless families and couples is notable. Only 5.5% of the counted individuals were in such situations within the three tested districts, compared to 19% in January.https://www.paris.fr/pages/le-guide-solidarite-a-paris-ete-2023-est-disponible-23880https://www.paris.fr/pages/nuit-de-la-solidarite-ete-2023-23860Oasis schoolyards, creating inclusive and refreshing spaces for all: Parisian school playgrounds are being transformed into \'oases\' to enhance daily livability and inclusivity. Recognizing their significance, school courtyards, spanning over 70 hectares and evenly distributed across the city, are targeted as crucial leverage points. These areas, currently predominantly asphalted and impermeable, contribute to the urban heat island effect and are inaccessible to the public on weekends when the need for refreshing spaces is high. The renovated courtyards provide a range of improvements, including more natural spaces, increased vegetation, better management of rainwater, water points, facilities for children, peaceful areas, and improved spatial distribution. The main goal is to enhance the well-being of children. These transformed courtyards, serving as refreshing oases within neighborhoods, are accessible to the public after school hours and serve as safe spaces for vulnerable individuals during heatwaves. From the beginning, the Oasis approach engages the stakeholders most affected by the courtyards' transformation, including"
Netherlands,31179,"- Yearly review of (climate related) policy in relation to the SDGs. - Use climate action, like energy savings and isolation, as a mean to fight (energy) poverty - Utilize contact with inhabitants to educate them on several topics at the same time: climate action, the Dutch language for integration and personal finance to prevent (financial) debts. \n - Utilize opportunities for employement and/or educating citizens in the workfield of the energy transition .- Development of energy efficiency measures and technologies: development in the harbour with new technologies and innovation and new type of industry (clean tech). Development of a local business sector with a strong link to climate adaptation/ mitigation. Chances for export and business development for these companies. - Infrastructure for transportation of residual heat from the industry to the urban area. Planning on infrastructure for carbon capture and storage development of a local electric transport network. - Attracting residents and business: A city that is well adapted to the effects of climate change (thus safe and attractive) attracts residents and businesses. Development of the city's unique character as a strong, sustainable, and liveable delta. - Multiple projects related to climate adaptation also focus on the restoration of the local economy, development of usable green landscapes and local food/ energy production. The food production helps in the stimulation of a ecological strong food sector within increasing scarcity of resources.","- In the previous mentioned areas we have set up a dedicated joint program with the national government (Nationaal Programma Rotterdam-Zuid) to improve living standards on multiple levels, from renovation of houses to employment schemes. This program resides on the southern part of Rotterdam. - A dedicated program within our municipality called Inclusive Climate Action Rotterdam (ICAR), which is working on climate adaptation and sustainability through the looking glass of social equality. ICAR is a member of the C40 ICA Forum, Women4Climate forum (W4C0) and Cool Cities. - The creation of a civil deliberation platform. \n - The municipality offers a wide range of instruments to combat energy poverty. Examples are local inhabitants who inform and help neighbors in possible ways to save energy (Energy coaches, Energy handymen)."
Poland,31185,"In the Climate Change Adaptation Strategy for The City Of Warsaw by 2030 With the Prospects until 2050. Urban Adaptation Plan were identified the following benefits/opportunities: - An increase in biodiversity, leading to ecological added value for the city and the enhancement of ecosystems providing ecosystem services to the city and its residents. - Increased health and safety, comfort and quality of life for residents. - Increased public awareness and involvement of residents. - Reduce financial and property losses. - Increase the competitiveness of the city and create new jobs. In the Warsaw Green City and Climate Action Planbenefits were identified the following benefits/opportunities: - reduction of greenhouse gas emissions, - carbon emissions cost savings, - reducing energy demand by minimizing losses, - \'green jobs\' development - renewable energy industry, - increase in innovation and competitiveness, - lower heating costs of residential and public buildings, - less dependence on imported energy sources, - development of research - increasing competitiveness and innovation of solutions, - financial savings associated with the use of energy from renewable sources, - improvement in the state of the natural environment, - general improvement in the quality of life of residents, - increased prosperity and stable economic development improving the condition of green areas throughout the city, - ensuring the protection and development of blue-green infrastructure and its integration into urban spaces, - improved health of residents, climate change city's resilience, - air quality improvements, - increase in biodiversity and aesthetic value, - social integration, - increase in land value and prosperity, - economic development and improvement of access to services, - reduced traffic congestion, - increased climate resilience, - access to high quality green space, - higher levels of social equity, - public involvement, - reducing the scale of energy poverty, - safer public spaces and green spaces that take into account the needs of gender, people with reduced mobility, sexual and ethnic minorities, - increasing the awareness of residents about their impact on the external environment.","In August 2022, Warsaw signed an agreement with the National Fund for Environmental Protection and Water Management on the implementation of the STOP SMOG programme within the city. As part of the agreement, the city has pledged to retrofit 200 single-family buildings in the city by the end of 2024. As part of the programme's implementation to date, the city is carrying out an inventory of single-family buildings of potential programme beneficiaries among Warsaw residents. This mainly concerns people who are poor and have coal-fired heating sources, who have been identified by Social Welfare Centres, and people who have applied for a city grant for replacing heat sources but have given up due to a lack of funds for their own contribution (despite a high % subsidy from the city). Regulations have been adopted to define the rules for implementing the program and carrying out the first retrofits. Warsaw is one of the few cities in the world to receive financial support from a new Inclusive Climate Action Cities Fund. The ICA is managed by C40 Cities, a global network of cities working together to tackle the climate crisis. Warsaw (as a member of C40) was selected to participate in the project through a rigorous process and will benefit from the first round of disbursements from the ICA fund. Each city received a grant (of up to USD 60 000) to implement projects that remove specific socio-economic barriers to accelerate climate action that is equitable, inclusive and benefits all residents, especially communities vulnerable to global warming. Warsaw addressed the energy poverty of low-income groups through the Carbon-neutral and Affordable Retrofits for Everyone in Need (CARE) project. The aim of the project was to specifically care for energy-poor residents and increase the energy efficiency of municipal housing. CARE project lasted from 07.2023 to 06.2024. The project developed a database of municipal buildings in the city, using data from various public sector resources.It will collect data in three thematic groups: - Energy classes of buildings; - Heat sources; - Social criteria, important in terms of exposure to fuel poverty. Data from the database allowed the preparation of an algorithm that will identify buildings whose inhabitants are particularly vulnerable to the negative effects of fuel poverty. This tool will support the process of thermal modernisation of Warsaw and the fight against energy poverty by objectively identifying municipal buildings in which thermal modernisation and renovation measures should be carried out first. In addition, the data will indicate the places where the effect of measures will bring the greatest benefits both to the city and its inhabitants."
Portugal,36159,"Mitigation and adaptation measures, in addition to the direct repercussions on the response to \nclimate change, translated into reduced GHG emissions, bring broad benefits to the city, making it \nstronger, sustainable, balanced and attractive in different areas: \no Environmental and public health (in terms of air quality, noise, road safety, temperature \nextremes and adverse meteorological events, physical and mental well-being, public space \nand quality of life, fair access to housing); \no Resource efficiency (waste and wastewater, circular economy, efficient water management, \nsustainable food, management of land use practices); \no Biodiversity and ecosystems (urban forests, plantations and health plan improvement, local \nspecies and pollinators, ecological warnings, connection between habitats, restoration of \nnature); \no (biodiversity, air, water and soil pollution, noise control, circularity of resources); \no Social (physical and mental health of the population, quality of life, security, justice and social \ncohesion, training, good governance, democracy and transparency, access to information \nand social innovation); \no Economic (employment, innovation, research and competitiveness, productivity, reduction of \nlosses, appreciation of assets and business continuity). \nThese benefits and externalities contribute globally to the city's objectives, defining priorities in the implementation of measures and actions that have already begun. \n","The 2024-2028 Major Planning Options (GOP) provide for the creation of a Municipal Climate Fund for the residential sector to reduce household energy consumption and costs, including the installation of solar thermal and photovoltaic panels for decentralised energy production and the adoption of energy efficiency measures. In addition, the Municipality and the Lisboa E-Nova Agency are developing mechanisms to support society, such as: promoting climate literacy, collaborating with external institutions to develop financing mechanisms and technical support. The creation of the 'Lisboa Clara' (Energy One-Stop-Shop) is an example of a support interface (face-to-face and digital) for the implementation of energy efficiency solutions in buildings and renewable energy production, with a special focus on citizens. The major options also include the promotion of Renewable Energy Communities (RECs) and Collective Self-Consumption units, to combat energy poverty by alleviating energy shortages through the decentralisation of photovoltaic solar energy in social housing buildings, distributed at symbolic or free costs to the neediest families. https://www.lisboa.pt/cidade/direitos-sociais/acao-social; https://www.lisboa.pt/fileadmin/info_administrativa/orcamento/2024/gop/GOP_2024_2028_AO_08.pdf"
Italy,36247,NULL,"We are planning an energy community based on a solidarity base, where the \'profits\' are used as a priority towards weak subject and those on energy poverty comnditions, to sustain their consumptions and eventually lower them through direct actions (assessment tutoring for small investments to improve household efficiency such as home appliances, habits, energy suppliers choice)"
Italy,36469,NULL,NULL
Croatia,43921,"Throughout the development of the city's SECAP (2019) as well as the updated \'Energy & Climate Framework for 2030 with an outline to 2050\', energy & climate benefits\n(as well as costs) were accounted and are clear. For example: it is continuously stressed that strong investment in clean public transport (zero-emission buses and\nassociated infrastructure) brings benefit of having a cleaner public transport (replacing old, polluting fossil fuel bus with a zero-emission bus) but also numerous other\nsecond-order benefits such as getting people out of their (also highly-polluting vehicles, on average) thereby reducing the harm to the local environment and improving the\nair quality.\nOver the course of the 2023 we are in the process of securing significant funding to successfully implement a large part of the identified project pipeline.","In February 2023 we have formally enacted the Energy Poverty Mitigation Programme which aims to directly support (largely through direct fiscal transfers) preidentified\nvulnerable population groups. Assuming that the overall Programme gets the needed finances during the FY2024 budget process, this would be a breakthrough on the\nnational level because no other municipality/city has a dedicated energy poverty mitigation programme (nor does the national-level government)."
